1, 262144 ,Linha RoundRobin ,  0.621 s
1, 262144 ,Linha RoundRobin ,  0.620 s
1, 262144 ,Linha RoundRobin ,  0.620 s
1, 262144 ,Linha RoundRobin ,  0.641 s
1, 262144 ,Linha RoundRobin ,  0.623 s
1, 262144 ,Linha RoundRobin ,  0.621 s
1, 262144 ,Linha RoundRobin ,  0.624 s
1, 262144 ,Linha RoundRobin ,  0.620 s
1, 262144 ,Linha RoundRobin ,  0.620 s
1, 262144 ,Linha RoundRobin ,  0.620 s
1, 262144 ,Linha RoundRobin ,  0.645 s
1, 262144 ,Linha RoundRobin ,  0.623 s
1, 262144 ,Linha RoundRobin ,  0.622 s
1, 262144 ,Linha RoundRobin ,  0.624 s
1, 262144 ,Linha RoundRobin ,  0.641 s
1, 262144 ,Linha RoundRobin ,  0.621 s
1, 262144 ,Linha RoundRobin ,  0.621 s
1, 262144 ,Linha RoundRobin ,  0.620 s
1, 262144 ,Linha RoundRobin ,  0.620 s
1, 262144 ,Linha RoundRobin ,  0.622 s
1, 262144 ,Linha RoundRobin ,  0.620 s
1, 262144 ,Linha RoundRobin ,  0.620 s
1, 262144 ,Linha RoundRobin ,  0.621 s
1, 262144 ,Linha RoundRobin ,  0.620 s
1, 262144 ,Linha RoundRobin ,  0.620 s
1, 262144 ,Linha RoundRobin ,  0.641 s
1, 262144 ,Linha RoundRobin ,  0.620 s
1, 1048576 ,Linha RoundRobin ,  2.477 s
1, 1048576 ,Linha RoundRobin ,  2.478 s
1, 1048576 ,Linha RoundRobin ,  2.478 s
1, 1048576 ,Linha RoundRobin ,  2.480 s
1, 1048576 ,Linha RoundRobin ,  2.480 s
1, 1048576 ,Linha RoundRobin ,  2.479 s
1, 1048576 ,Linha RoundRobin ,  2.479 s
1, 1048576 ,Linha RoundRobin ,  2.560 s
1, 1048576 ,Linha RoundRobin ,  2.483 s
1, 1048576 ,Linha RoundRobin ,  2.484 s
1, 1048576 ,Linha RoundRobin ,  2.481 s
1, 1048576 ,Linha RoundRobin ,  2.479 s
1, 1048576 ,Linha RoundRobin ,  2.478 s
1, 1048576 ,Linha RoundRobin ,  2.558 s
1, 1048576 ,Linha RoundRobin ,  2.482 s
1, 1048576 ,Linha RoundRobin ,  2.479 s
1, 1048576 ,Linha RoundRobin ,  2.481 s
1, 1048576 ,Linha RoundRobin ,  2.479 s
1, 1048576 ,Linha RoundRobin ,  2.478 s
1, 1048576 ,Linha RoundRobin ,  2.482 s
1, 1048576 ,Linha RoundRobin ,  2.483 s
1, 1048576 ,Linha RoundRobin ,  2.484 s
1, 1048576 ,Linha RoundRobin ,  2.560 s
1, 1048576 ,Linha RoundRobin ,  2.487 s
1, 1048576 ,Linha RoundRobin ,  2.478 s
1, 1048576 ,Linha RoundRobin ,  2.479 s
1, 1048576 ,Linha RoundRobin ,  2.486 s
1, 1048576 ,Linha RoundRobin ,  2.479 s
1, 1048576 ,Linha RoundRobin ,  2.482 s
1, 1048576 ,Linha RoundRobin ,  2.558 s
1, 1048576 ,Linha RoundRobin ,  2.481 s
1, 1048576 ,Linha RoundRobin ,  2.479 s
1, 1048576 ,Linha RoundRobin ,  2.480 s
1, 1048576 ,Linha RoundRobin ,  2.481 s
1, 1048576 ,Linha RoundRobin ,  2.478 s
1, 1048576 ,Linha RoundRobin ,  2.479 s
1, 1048576 ,Linha RoundRobin ,  2.478 s
1, 1048576 ,Linha RoundRobin ,  2.480 s
1, 1048576 ,Linha RoundRobin ,  2.482 s
1, 1048576 ,Linha RoundRobin ,  2.477 s
1, 1048576 ,Linha RoundRobin ,  2.562 s
1, 1048576 ,Linha RoundRobin ,  2.479 s
1, 1048576 ,Linha RoundRobin ,  2.481 s
1, 1048576 ,Linha RoundRobin ,  2.479 s
1, 1048576 ,Linha RoundRobin ,  2.561 s
1, 1048576 ,Linha RoundRobin ,  2.484 s
1, 1048576 ,Linha RoundRobin ,  2.479 s
1, 1048576 ,Linha RoundRobin ,  2.558 s
1, 1048576 ,Linha RoundRobin ,  2.481 s
1, 1048576 ,Linha RoundRobin ,  2.561 s
1, 4194304 ,Linha RoundRobin ,  9.871 s
1, 4194304 ,Linha RoundRobin ,  9.872 s
1, 4194304 ,Linha RoundRobin ,  9.876 s
1, 4194304 ,Linha RoundRobin ,  9.876 s
1, 4194304 ,Linha RoundRobin ,  9.877 s
1, 4194304 ,Linha RoundRobin ,  9.870 s
1, 4194304 ,Linha RoundRobin ,  9.869 s
1, 4194304 ,Linha RoundRobin ,  9.871 s
1, 4194304 ,Linha RoundRobin ,  9.871 s
1, 4194304 ,Linha RoundRobin ,  9.875 s
1, 4194304 ,Linha RoundRobin ,  9.872 s
1, 4194304 ,Linha RoundRobin ,  9.872 s
1, 4194304 ,Linha RoundRobin ,  10.197 s
1, 4194304 ,Linha RoundRobin ,  9.883 s
1, 4194304 ,Linha RoundRobin ,  10.195 s
1, 4194304 ,Linha RoundRobin ,  9.871 s
1, 4194304 ,Linha RoundRobin ,  9.876 s
1, 4194304 ,Linha RoundRobin ,  9.871 s
1, 4194304 ,Linha RoundRobin ,  9.877 s
1, 4194304 ,Linha RoundRobin ,  10.196 s
1, 4194304 ,Linha RoundRobin ,  9.874 s
1, 4194304 ,Linha RoundRobin ,  9.871 s
1, 4194304 ,Linha RoundRobin ,  9.878 s
1, 4194304 ,Linha RoundRobin ,  9.871 s
1, 4194304 ,Linha RoundRobin ,  9.871 s
1, 4194304 ,Linha RoundRobin ,  9.876 s
1, 4194304 ,Linha RoundRobin ,  10.206 s
1, 4194304 ,Linha RoundRobin ,  9.878 s
1, 4194304 ,Linha RoundRobin ,  9.870 s
1, 4194304 ,Linha RoundRobin ,  9.875 s
1, 4194304 ,Linha RoundRobin ,  9.873 s
1, 4194304 ,Linha RoundRobin ,  9.874 s
1, 4194304 ,Linha RoundRobin ,  9.876 s
1, 4194304 ,Linha RoundRobin ,  9.870 s
1, 4194304 ,Linha RoundRobin ,  9.875 s
1, 4194304 ,Linha RoundRobin ,  9.873 s
1, 4194304 ,Linha RoundRobin ,  9.874 s
1, 4194304 ,Linha RoundRobin ,  9.881 s
1, 4194304 ,Linha RoundRobin ,  9.877 s
1, 4194304 ,Linha RoundRobin ,  9.877 s
1, 4194304 ,Linha RoundRobin ,  9.872 s
1, 4194304 ,Linha RoundRobin ,  9.870 s
1, 4194304 ,Linha RoundRobin ,  9.877 s
1, 4194304 ,Linha RoundRobin ,  9.872 s
1, 4194304 ,Linha RoundRobin ,  9.873 s
1, 4194304 ,Linha RoundRobin ,  9.874 s
1, 4194304 ,Linha RoundRobin ,  9.871 s
1, 4194304 ,Linha RoundRobin ,  9.882 s
1, 4194304 ,Linha RoundRobin ,  9.878 s
1, 4194304 ,Linha RoundRobin ,  9.874 s
