16, 262144 ,Linha RoundRobin ,  0.081 s
16, 262144 ,Linha RoundRobin ,  0.083 s
16, 262144 ,Linha RoundRobin ,  0.067 s
16, 262144 ,Linha RoundRobin ,  0.073 s
16, 262144 ,Linha RoundRobin ,  0.073 s
16, 262144 ,Linha RoundRobin ,  0.071 s
16, 262144 ,Linha RoundRobin ,  0.066 s
16, 262144 ,Linha RoundRobin ,  0.066 s
16, 262144 ,Linha RoundRobin ,  0.072 s
16, 262144 ,Linha RoundRobin ,  0.068 s
16, 262144 ,Linha RoundRobin ,  0.084 s
16, 262144 ,Linha RoundRobin ,  0.085 s
16, 262144 ,Linha RoundRobin ,  0.065 s
16, 262144 ,Linha RoundRobin ,  0.065 s
16, 262144 ,Linha RoundRobin ,  0.067 s
16, 262144 ,Linha RoundRobin ,  0.067 s
16, 262144 ,Linha RoundRobin ,  0.071 s
16, 262144 ,Linha RoundRobin ,  0.066 s
16, 262144 ,Linha RoundRobin ,  0.069 s
16, 262144 ,Linha RoundRobin ,  0.082 s
16, 262144 ,Linha RoundRobin ,  0.073 s
16, 262144 ,Linha RoundRobin ,  0.070 s
16, 262144 ,Linha RoundRobin ,  0.069 s
16, 262144 ,Linha RoundRobin ,  0.071 s
16, 262144 ,Linha RoundRobin ,  0.072 s
16, 262144 ,Linha RoundRobin ,  0.073 s
16, 262144 ,Linha RoundRobin ,  0.066 s
16, 1048576 ,Linha RoundRobin ,  0.270 s
16, 1048576 ,Linha RoundRobin ,  0.271 s
16, 1048576 ,Linha RoundRobin ,  0.260 s
16, 1048576 ,Linha RoundRobin ,  0.266 s
16, 1048576 ,Linha RoundRobin ,  0.268 s
16, 1048576 ,Linha RoundRobin ,  0.260 s
16, 1048576 ,Linha RoundRobin ,  0.270 s
16, 1048576 ,Linha RoundRobin ,  0.260 s
16, 1048576 ,Linha RoundRobin ,  0.271 s
16, 1048576 ,Linha RoundRobin ,  0.266 s
16, 1048576 ,Linha RoundRobin ,  0.272 s
16, 1048576 ,Linha RoundRobin ,  0.265 s
16, 1048576 ,Linha RoundRobin ,  0.268 s
16, 1048576 ,Linha RoundRobin ,  0.268 s
16, 1048576 ,Linha RoundRobin ,  0.253 s
16, 1048576 ,Linha RoundRobin ,  0.257 s
16, 1048576 ,Linha RoundRobin ,  0.273 s
16, 1048576 ,Linha RoundRobin ,  0.316 s
16, 1048576 ,Linha RoundRobin ,  0.272 s
16, 1048576 ,Linha RoundRobin ,  0.262 s
16, 1048576 ,Linha RoundRobin ,  0.267 s
16, 1048576 ,Linha RoundRobin ,  0.259 s
16, 1048576 ,Linha RoundRobin ,  0.255 s
16, 1048576 ,Linha RoundRobin ,  0.264 s
16, 1048576 ,Linha RoundRobin ,  0.266 s
16, 1048576 ,Linha RoundRobin ,  0.256 s
16, 1048576 ,Linha RoundRobin ,  0.268 s
16, 1048576 ,Linha RoundRobin ,  0.255 s
16, 1048576 ,Linha RoundRobin ,  0.259 s
16, 1048576 ,Linha RoundRobin ,  0.265 s
16, 1048576 ,Linha RoundRobin ,  0.255 s
16, 1048576 ,Linha RoundRobin ,  0.262 s
16, 1048576 ,Linha RoundRobin ,  0.262 s
16, 1048576 ,Linha RoundRobin ,  0.260 s
16, 1048576 ,Linha RoundRobin ,  0.269 s
16, 1048576 ,Linha RoundRobin ,  0.270 s
16, 1048576 ,Linha RoundRobin ,  0.272 s
16, 1048576 ,Linha RoundRobin ,  0.280 s
16, 1048576 ,Linha RoundRobin ,  0.261 s
16, 1048576 ,Linha RoundRobin ,  0.257 s
16, 1048576 ,Linha RoundRobin ,  0.263 s
16, 1048576 ,Linha RoundRobin ,  0.258 s
16, 1048576 ,Linha RoundRobin ,  0.283 s
16, 1048576 ,Linha RoundRobin ,  0.270 s
16, 1048576 ,Linha RoundRobin ,  0.264 s
16, 1048576 ,Linha RoundRobin ,  0.259 s
16, 1048576 ,Linha RoundRobin ,  0.283 s
16, 1048576 ,Linha RoundRobin ,  0.269 s
16, 1048576 ,Linha RoundRobin ,  0.255 s
16, 1048576 ,Linha RoundRobin ,  0.263 s
16, 4194304 ,Linha RoundRobin ,  1.049 s
16, 4194304 ,Linha RoundRobin ,  1.060 s
16, 4194304 ,Linha RoundRobin ,  1.037 s
16, 4194304 ,Linha RoundRobin ,  1.065 s
16, 4194304 ,Linha RoundRobin ,  1.043 s
16, 4194304 ,Linha RoundRobin ,  1.043 s
16, 4194304 ,Linha RoundRobin ,  1.064 s
16, 4194304 ,Linha RoundRobin ,  1.036 s
16, 4194304 ,Linha RoundRobin ,  1.036 s
16, 4194304 ,Linha RoundRobin ,  1.038 s
16, 4194304 ,Linha RoundRobin ,  1.036 s
16, 4194304 ,Linha RoundRobin ,  1.023 s
16, 4194304 ,Linha RoundRobin ,  1.073 s
16, 4194304 ,Linha RoundRobin ,  1.015 s
16, 4194304 ,Linha RoundRobin ,  1.019 s
16, 4194304 ,Linha RoundRobin ,  1.022 s
16, 4194304 ,Linha RoundRobin ,  1.057 s
16, 4194304 ,Linha RoundRobin ,  1.029 s
16, 4194304 ,Linha RoundRobin ,  1.037 s
16, 4194304 ,Linha RoundRobin ,  1.052 s
16, 4194304 ,Linha RoundRobin ,  1.041 s
16, 4194304 ,Linha RoundRobin ,  1.082 s
16, 4194304 ,Linha RoundRobin ,  1.040 s
16, 4194304 ,Linha RoundRobin ,  1.043 s
16, 4194304 ,Linha RoundRobin ,  1.046 s
16, 4194304 ,Linha RoundRobin ,  1.044 s
16, 4194304 ,Linha RoundRobin ,  1.033 s
16, 4194304 ,Linha RoundRobin ,  1.047 s
16, 4194304 ,Linha RoundRobin ,  1.032 s
16, 4194304 ,Linha RoundRobin ,  1.068 s
16, 4194304 ,Linha RoundRobin ,  1.042 s
16, 4194304 ,Linha RoundRobin ,  1.074 s
16, 4194304 ,Linha RoundRobin ,  1.014 s
16, 4194304 ,Linha RoundRobin ,  1.048 s
16, 4194304 ,Linha RoundRobin ,  1.032 s
16, 4194304 ,Linha RoundRobin ,  1.029 s
16, 4194304 ,Linha RoundRobin ,  1.056 s
16, 4194304 ,Linha RoundRobin ,  1.053 s
16, 4194304 ,Linha RoundRobin ,  1.051 s
16, 4194304 ,Linha RoundRobin ,  1.036 s
16, 4194304 ,Linha RoundRobin ,  1.022 s
16, 4194304 ,Linha RoundRobin ,  1.029 s
16, 4194304 ,Linha RoundRobin ,  1.024 s
16, 4194304 ,Linha RoundRobin ,  1.035 s
16, 4194304 ,Linha RoundRobin ,  1.025 s
16, 4194304 ,Linha RoundRobin ,  1.036 s
16, 4194304 ,Linha RoundRobin ,  1.036 s
16, 4194304 ,Linha RoundRobin ,  1.061 s
16, 4194304 ,Linha RoundRobin ,  1.052 s
16, 4194304 ,Linha RoundRobin ,  1.028 s
