TempoAlocacao,Tempo,Particionamento,Nucleos
2.403386,3.653864,LinhaNormal,16
1.41136,3.504131,LinhaNormal,16
0.394808,4.300473,LinhaNormal,16
1.131776,3.346537,LinhaNormal,16
2.050717,3.160701,LinhaNormal,16
0.412267,4.264289,LinhaNormal,16
0.394769,3.889893,LinhaNormal,16
0.383426,4.229787,LinhaNormal,16
0.352799,3.741647,LinhaNormal,16
0.374877,3.976522,LinhaNormal,16
0.432865,3.640909,LinhaNormal,16
1.275116,3.192509,LinhaNormal,16
1.745429,2.980304,LinhaNormal,16
0.416018,4.232064,LinhaNormal,16
0.408561,3.704628,LinhaNormal,16
0.363528,3.820103,LinhaNormal,16
0.392775,3.79843,LinhaNormal,16
0.389134,4.183329,LinhaNormal,16
0.368337,3.866995,LinhaNormal,16
2.25958,3.262554,LinhaNormal,16
0.413932,3.665142,LinhaNormal,16
0.373126,3.731749,LinhaNormal,16
0.415111,3.774736,LinhaNormal,16
0.376455,3.905976,LinhaNormal,16
0.3994,3.613596,LinhaNormal,16
0.425853,3.63678,LinhaNormal,16
0.406964,4.159569,LinhaNormal,16
0.389523,3.978418,LinhaNormal,16
0.427998,3.64683,LinhaNormal,16
0.334152,3.468136,LinhaNormal,16
0.410684,3.670376,LinhaNormal,16
0.414645,4.442542,LinhaNormal,16
0.400845,3.820955,LinhaNormal,16
0.403937,3.801537,LinhaNormal,16
0.401122,3.494956,LinhaNormal,16
0.414996,3.668672,LinhaNormal,16
0.401674,3.863776,LinhaNormal,16
1.352399,3.539954,LinhaNormal,16
1.387178,3.199889,LinhaNormal,16
0.415756,3.424826,LinhaNormal,16
0.388389,3.810506,LinhaNormal,16
0.399268,4.094212,LinhaNormal,16




0.65688,6.590697,LinhaRoundRobin,2
0.577261,5.981165,LinhaRoundRobin,2
0.681231,6.573485,LinhaRoundRobin,2
0.672958,6.49474,LinhaRoundRobin,2
0.673599,6.578772,LinhaRoundRobin,2
0.580222,5.781508,LinhaRoundRobin,2
0.671979,6.584174,LinhaRoundRobin,2
0.668119,6.492961,LinhaRoundRobin,2
0.662209,6.530949,LinhaRoundRobin,2
0.579732,5.999632,LinhaRoundRobin,2
0.675868,6.484035,LinhaRoundRobin,2
0.578731,5.753319,LinhaRoundRobin,2
0.682722,6.501765,LinhaRoundRobin,2
0.658335,6.502386,LinhaRoundRobin,2
0.67026,6.622389,LinhaRoundRobin,2
0.668693,6.596214,LinhaRoundRobin,2
0.581249,5.976582,LinhaRoundRobin,2
0.576896,5.961488,LinhaRoundRobin,2
0.658998,6.554944,LinhaRoundRobin,2
0.662346,6.631587,LinhaRoundRobin,2
0.664584,6.647432,LinhaRoundRobin,2
0.672136,6.570098,LinhaRoundRobin,2
0.578147,5.959933,LinhaRoundRobin,2
0.656109,6.612606,LinhaRoundRobin,2
0.658069,6.569947,LinhaRoundRobin,2
0.576179,5.991976,LinhaRoundRobin,2
0.663277,6.456185,LinhaRoundRobin,2
0.656231,6.185116,LinhaRoundRobin,2
0.661333,6.459102,LinhaRoundRobin,2
0.659205,6.591201,LinhaRoundRobin,2
0.661096,6.460953,LinhaRoundRobin,2
0.674824,6.497284,LinhaRoundRobin,2
0.672877,6.512286,LinhaRoundRobin,2
0.661477,6.574222,LinhaRoundRobin,2
0.576897,5.992992,LinhaRoundRobin,2
0.579726,5.79877,LinhaRoundRobin,2
0.665347,6.497957,LinhaRoundRobin,2
0.668762,6.472702,LinhaRoundRobin,2
0.66537,6.446852,LinhaRoundRobin,2
0.581059,5.971314,LinhaRoundRobin,2
0.669699,6.454101,LinhaRoundRobin,2
0.661876,6.581126,LinhaRoundRobin,2
0.662942,6.589019,LinhaRoundRobin,2
0.662849,6.553987,LinhaRoundRobin,2
0.662683,6.477674,LinhaRoundRobin,2
0.663403,6.593116,LinhaRoundRobin,2
0.662705,6.467715,LinhaRoundRobin,2
0.659633,6.514104,LinhaRoundRobin,2
0.673235,6.632699,LinhaRoundRobin,2
0.664368,6.482982,LinhaRoundRobin,2
0.472443,3.189147,LinhaRoundRobin,4
0.374768,3.374213,LinhaRoundRobin,4
0.481014,3.18508,LinhaRoundRobin,4
0.354368,3.34768,LinhaRoundRobin,4
0.376557,3.318601,LinhaRoundRobin,4
0.355316,3.326809,LinhaRoundRobin,4
0.543045,3.203915,LinhaRoundRobin,4
0.364067,3.338738,LinhaRoundRobin,4
0.49123,3.179812,LinhaRoundRobin,4
0.511984,3.180381,LinhaRoundRobin,4
0.475029,3.177672,LinhaRoundRobin,4
0.497677,3.190489,LinhaRoundRobin,4
0.388952,3.396088,LinhaRoundRobin,4
0.53287,3.195889,LinhaRoundRobin,4
0.486564,3.178471,LinhaRoundRobin,4
0.35439,3.316878,LinhaRoundRobin,4
0.372859,3.386417,LinhaRoundRobin,4
