16641, 0.004733s, 0.181851s

16641, 0.004827s, 0.181694s

16641, 0.00473s, 0.184952s

16641, 0.004652s, 0.183349s

16641, 0.00468s, 0.183592s

16641, 0.004693s, 0.181914s

16641, 0.004683s, 0.183817s

16641, 0.004659s, 0.184104s

16641, 0.004715s, 0.184751s

16641, 0.004692s, 0.182041s

16641, 0.004696s, 0.183382s

16641, 0.004608s, 0.182238s

16641, 0.00465s, 0.181657s

16641, 0.004679s, 0.182792s

16641, 0.00469s, 0.182319s

16641, 0.004666s, 0.184271s

16641, 0.004676s, 0.184195s

16641, 0.004663s, 0.183275s

16641, 0.004623s, 0.182888s

16641, 0.004631s, 0.182868s

16641, 0.004606s, 0.182872s

16641, 0.004656s, 0.181692s

16641, 0.004667s, 0.1826s

16641, 0.004666s, 0.18252s

16641, 0.004676s, 0.182396s

16641, 0.004671s, 0.182875s

16641, 0.004668s, 0.182534s

16641, 0.004622s, 0.183555s

16641, 0.004628s, 0.183328s

16641, 0.004615s, 0.183551s

16641, 0.004678s, 0.183555s

16641, 0.004671s, 0.182549s

16641, 0.004664s, 0.181389s

16641, 0.004662s, 0.182349s

16641, 0.004667s, 0.183105s

16641, 0.00466s, 0.184667s

16641, 0.004636s, 0.18484s

16641, 0.004637s, 0.18323s

16641, 0.004644s, 0.182482s

16641, 0.004679s, 0.182082s

16641, 0.004656s, 0.182281s

16641, 0.004608s, 0.184336s

16641, 0.004618s, 0.18314s

16641, 0.004622s, 0.181793s

16641, 0.00467s, 0.183306s

16641, 0.004674s, 0.182473s

16641, 0.004634s, 0.184298s

16641, 0.004621s, 0.182674s

16641, 0.004622s, 0.181815s

16641, 0.004632s, 0.182063s

66049, 0.016985s, 0.726096s

66049, 0.016912s, 0.724932s

66049, 0.016904s, 0.728692s

66049, 0.016864s, 0.723036s

66049, 0.016927s, 0.728858s

66049, 0.016897s, 0.725908s

66049, 0.016909s, 0.733823s

66049, 0.016867s, 0.725224s

66049, 0.016917s, 0.723206s

66049, 0.016858s, 0.732637s

66049, 0.016879s, 0.72965s

66049, 0.01688s, 0.726337s

66049, 0.01687s, 0.731863s

66049, 0.016863s, 0.726196s

66049, 0.016819s, 0.728649s

66049, 0.016858s, 0.730732s

66049, 0.016841s, 0.728098s

66049, 0.016866s, 0.733504s

66049, 0.016814s, 0.722515s

66049, 0.01682s, 0.725847s

66049, 0.016882s, 0.723596s

66049, 0.01692s, 0.735554s

66049, 0.016875s, 0.735204s

66049, 0.016907s, 0.734323s

66049, 0.016817s, 0.724458s

66049, 0.016837s, 0.722325s

66049, 0.01686s, 0.735466s

66049, 0.016857s, 0.725519s

66049, 0.016925s, 0.734904s

66049, 0.016802s, 0.729474s

66049, 0.016858s, 0.7247s

66049, 0.016816s, 0.729115s

66049, 0.016893s, 0.724191s

66049, 0.016877s, 0.729127s

66049, 0.016872s, 0.734204s

66049, 0.016885s, 0.723879s

66049, 0.016883s, 0.725173s

66049, 0.016862s, 0.724942s

66049, 0.016894s, 0.735068s

66049, 0.016837s, 0.735513s

66049, 0.016899s, 0.729049s

66049, 0.016909s, 0.723752s

66049, 0.016856s, 0.723699s

66049, 0.016879s, 0.735442s

66049, 0.016858s, 0.728257s

66049, 0.016889s, 0.725753s

66049, 0.016952s, 0.725136s

66049, 0.016847s, 0.723851s

66049, 0.016852s, 0.725004s

66049, 0.017137s, 0.7261s

263169, 0.065155s, 2.878412s

263169, 0.064907s, 2.875492s

263169, 0.064912s, 2.915197s

263169, 0.064987s, 2.877023s

263169, 0.064994s, 2.925127s

263169, 0.064862s, 2.926242s

263169, 0.064989s, 2.909767s

263169, 0.065175s, 2.889962s

263169, 0.064849s, 2.922444s

263169, 0.064859s, 2.87783s

263169, 0.064932s, 2.886932s

263169, 0.065058s, 2.878548s

263169, 0.065013s, 2.927597s

263169, 0.064904s, 2.872632s

263169, 0.065066s, 2.899178s

263169, 0.064829s, 2.880157s

263169, 0.064984s, 2.922681s

263169, 0.064857s, 2.876585s

263169, 0.0649s, 2.917778s

263169, 0.064929s, 2.873091s

263169, 0.064785s, 2.909471s

263169, 0.065066s, 2.900927s

263169, 0.064935s, 2.880832s

263169, 0.064903s, 2.911656s

263169, 0.064917s, 2.885605s

263169, 0.064833s, 2.924163s

263169, 0.064841s, 2.872619s

263169, 0.064969s, 2.879701s

263169, 0.06486s, 2.926323s

263169, 0.064827s, 2.882304s

263169, 0.06486s, 2.88631s

263169, 0.064846s, 2.906205s

263169, 0.06496s, 2.894088s

263169, 0.065079s, 2.896579s

263169, 0.064851s, 2.880862s

263169, 0.065006s, 2.884821s

263169, 0.064938s, 2.88125s

263169, 0.064898s, 2.920793s

263169, 0.06491s, 2.880356s

263169, 0.064858s, 2.878758s

263169, 0.064956s, 2.892644s

263169, 0.064933s, 2.925231s

263169, 0.064928s, 2.919106s

263169, 0.064823s, 2.879633s

263169, 0.06483s, 2.885607s

263169, 0.064972s, 2.882549s

263169, 0.06484s, 2.901583s

263169, 0.0649s, 2.885301s

263169, 0.06492s, 2.881779s

263169, 0.064816s, 2.886462s

1050625, 0.250203s, 11.529563s

1050625, 0.249669s, 11.539975s

1050625, 0.250232s, 11.489309s

1050625, 0.250239s, 11.557974s

1050625, 0.250056s, 11.490784s

1050625, 0.249822s, 11.571661s

1050625, 0.250093s, 11.484042s

1050625, 0.250004s, 11.642949s

1050625, 0.250134s, 11.531975s

1050625, 0.249839s, 11.514877s

1050625, 0.249912s, 11.515179s

1050625, 0.249967s, 11.528866s

1050625, 0.25009s, 11.50054s

1050625, 0.249623s, 11.482981s

1050625, 0.250353s, 11.48681s

1050625, 0.249812s, 11.516321s

1050625, 0.249925s, 11.675731s

1050625, 0.249915s, 11.487909s

1050625, 0.249727s, 11.467083s

1050625, 0.250108s, 11.572138s

1050625, 0.249807s, 11.479571s

1050625, 0.250005s, 11.519164s

1050625, 0.250349s, 11.529396s

1050625, 0.250101s, 11.516944s

1050625, 0.249767s, 11.523609s

1050625, 0.249888s, 11.482013s

1050625, 0.24999s, 11.627112s

1050625, 0.249696s, 11.569321s

1050625, 0.249776s, 11.48943s

1050625, 0.250125s, 11.472852s

1050625, 0.249828s, 11.630134s

1050625, 0.250441s, 11.582442s

1050625, 0.252022s, 11.63612s

1050625, 0.250004s, 11.486868s

1050625, 0.249915s, 11.52039s

1050625, 0.250106s, 11.482107s

1050625, 0.250009s, 11.523084s

1050625, 0.250215s, 11.511039s

1050625, 0.250451s, 11.68826s

1050625, 0.249972s, 11.472729s

1050625, 0.249968s, 11.688518s

1050625, 0.249798s, 11.560496s

1050625, 0.250027s, 11.643455s

1050625, 0.250219s, 11.57691s

1050625, 0.249645s, 11.522291s

1050625, 0.24975s, 11.504218s

1050625, 0.250272s, 11.525031s

1050625, 0.249505s, 11.517185s

1050625, 0.249739s, 11.487881s

1050625, 0.250005s, 11.475624s

4198401, 0.952305s, 46.249959s

4198401, 0.952699s, 45.889472s

4198401, 0.950523s, 46.386281s

4198401, 0.949033s, 45.775878s

4198401, 0.951863s, 45.8712s

4198401, 0.951337s, 45.780089s

4198401, 0.949939s, 46.408848s

4198401, 0.951624s, 46.463367s

4198401, 0.950498s, 46.0363s

4198401, 0.950806s, 45.730326s

4198401, 0.951873s, 45.838317s

4198401, 0.951017s, 45.76936s

4198401, 0.949988s, 45.791465s

4198401, 0.950475s, 45.962519s

4198401, 0.950459s, 46.262264s

4198401, 0.949469s, 45.992311s

4198401, 0.949544s, 46.043508s

4198401, 0.949324s, 46.198455s

4198401, 0.947708s, 45.967681s

4198401, 0.952251s, 46.368757s

4198401, 0.950125s, 46.61269s

4198401, 0.950924s, 45.987886s

4198401, 0.949318s, 45.771821s

4198401, 0.956409s, 46.218377s

4198401, 0.95059s, 45.993291s

4198401, 0.950214s, 45.858593s

4198401, 0.953084s, 46.252461s

4198401, 0.949339s, 46.584364s

4198401, 0.950149s, 46.180456s

4198401, 0.949696s, 45.753464s

4198401, 0.950453s, 45.753238s

4198401, 0.950201s, 46.028496s

4198401, 0.949307s, 45.968479s

4198401, 0.950886s, 46.225315s

4198401, 0.950837s, 46.018582s

4198401, 0.949944s, 46.710209s

4198401, 0.951826s, 46.04379s

4198401, 0.950966s, 46.657673s

4198401, 0.951314s, 46.032498s

4198401, 0.951384s, 46.66892s

4198401, 0.95053s, 45.731915s

4198401, 0.951421s, 45.999091s

4198401, 0.949698s, 45.844462s

4198401, 0.951902s, 46.650398s

4198401, 0.951145s, 46.554506s

4198401, 0.950403s, 46.185174s

4198401, 0.951332s, 45.994618s

4198401, 0.948597s, 45.982413s

4198401, 0.949118s, 45.958637s

4198401, 0.950465s, 46.538386s

