2, 66049, "Linha RoundRobin", 0.084617s, 0.401744s

2, 66049, "Linha RoundRobin", 0.120723s, 0.419249s

2, 66049, "Linha RoundRobin", 0.085076s, 0.393274s

2, 66049, "Linha RoundRobin", 0.084613s, 0.416238s

2, 66049, "Linha RoundRobin", 0.122045s, 0.412972s

2, 66049, "Linha RoundRobin", 0.124738s, 0.434619s

2, 66049, "Linha RoundRobin", 0.111759s, 0.428952s

2, 66049, "Linha RoundRobin", 0.122746s, 0.438251s

2, 66049, "Linha RoundRobin", 0.123357s, 0.408985s

2, 66049, "Linha RoundRobin", 0.08787s, 0.399188s

2, 66049, "Linha RoundRobin", 0.123313s, 0.417439s

2, 66049, "Linha RoundRobin", 0.108263s, 0.418594s

2, 66049, "Linha RoundRobin", 0.085126s, 0.401739s

2, 263169, "Linha RoundRobin", 0.660096s, 1.675574s

2, 263169, "Linha RoundRobin", 0.546762s, 1.626612s

2, 263169, "Linha RoundRobin", 0.439073s, 1.656923s

2, 263169, "Linha RoundRobin", 0.412742s, 1.593468s

2, 263169, "Linha RoundRobin", 0.47927s, 1.636102s

2, 263169, "Linha RoundRobin", 0.547581s, 1.72627s

2, 263169, "Linha RoundRobin", 0.476935s, 1.673424s

2, 263169, "Linha RoundRobin", 0.371902s, 1.605677s

2, 263169, "Linha RoundRobin", 0.370797s, 1.573337s

2, 263169, "Linha RoundRobin", 0.541126s, 1.665377s

2, 263169, "Linha RoundRobin", 0.53184s, 1.692287s

2, 263169, "Linha RoundRobin", 0.490928s, 1.653615s

2, 263169, "Linha RoundRobin", 0.546602s, 1.743758s

2, 263169, "Linha RoundRobin", 0.497721s, 1.667386s

2, 263169, "Linha RoundRobin", 0.494445s, 1.683421s

2, 263169, "Linha RoundRobin", 0.47319s, 1.671269s

2, 263169, "Linha RoundRobin", 0.53848s, 1.643357s

2, 263169, "Linha RoundRobin", 0.372817s, 1.570534s

2, 263169, "Linha RoundRobin", 0.474247s, 1.682139s

2, 263169, "Linha RoundRobin", 0.473966s, 1.707222s

2, 263169, "Linha RoundRobin", 0.483318s, 1.681707s

2, 263169, "Linha RoundRobin", 0.490989s, 1.65207s

2, 263169, "Linha RoundRobin", 0.479083s, 1.703007s

2, 263169, "Linha RoundRobin", 0.478663s, 1.678245s

2, 263169, "Linha RoundRobin", 0.371783s, 1.608329s

2, 263169, "Linha RoundRobin", 0.542205s, 1.670218s

2, 263169, "Linha RoundRobin", 0.540027s, 1.643981s

2, 263169, "Linha RoundRobin", 0.545761s, 1.704967s

2, 263169, "Linha RoundRobin", 0.552642s, 1.65462s

