TempoAlocacao,Tempo,Pontos

0.020965,0.008893,16641
0.02673,0.009113,16641
0.021833,0.008694,16641
0.021632,0.012936,16641
0.023551,0.009207,16641
0.019771,0.009188,16641
0.017398,0.010226,16641
0.01884,0.00932,16641
0.021142,0.009166,16641
0.023197,0.008588,16641
0.023229,0.008477,16641
0.024884,0.009198,16641
0.017674,0.015097,16641
0.019612,0.00827,16641
0.025939,0.009172,16641
0.025531,0.012391,16641
0.019281,0.009147,16641
0.02278,0.009046,16641
0.023356,0.00919,16641
0.016987,0.007724,16641
0.021415,0.009174,16641
0.022919,0.009984,16641
0.022078,0.009443,16641
0.020433,0.009131,16641
0.019453,0.008608,16641
0.017891,0.008983,16641
0.017246,0.008854,16641
0.020863,0.009315,16641
0.016691,0.007706,16641
0.018482,0.009109,16641
0.023028,0.009023,16641
0.024579,0.013219,16641
0.022466,0.009566,16641
0.023125,0.00767,16641
0.016791,0.00855,16641
0.023297,0.008618,16641
0.024842,0.008542,16641
0.017651,0.008431,16641
0.020156,0.00918,16641
0.022411,0.014686,16641
0.026033,0.008511,16641
0.021838,0.008674,16641
0.018787,0.007672,16641
0.018595,0.00775,16641
0.027496,0.014171,16641
0.025145,0.008863,16641
0.024825,0.008827,16641
0.023072,0.009006,16641
0.020513,0.009022,16641
0.018817,0.008595,16641
0.102354,0.080559,66049
0.099591,0.145237,66049
0.105974,0.079747,66049
0.106427,0.119848,66049
0.09688,0.055102,66049
0.105504,0.065247,66049
0.096423,0.054889,66049
0.094193,0.048787,66049
0.105176,0.073403,66049
0.100136,0.057079,66049
0.084066,0.050898,66049
0.08696,0.062319,66049
0.087042,0.050691,66049
0.090598,0.049918,66049
0.089191,0.049012,66049
0.086767,0.050094,66049
0.099566,0.049293,66049
0.100323,0.088245,66049
0.091722,0.048224,66049
0.098477,0.053047,66049
0.09605,0.056638,66049
0.093481,0.055938,66049
0.095893,0.059253,66049
0.092915,0.054739,66049
0.098088,0.050271,66049
0.094259,0.049457,66049
0.09128,0.064994,66049
0.090636,0.162776,66049
0.102235,0.076978,66049
0.104439,0.068227,66049
0.09516,0.049484,66049
0.091814,0.051811,66049
0.083357,0.045093,66049
0.112329,0.090349,66049
0.098557,0.053672,66049
0.091101,0.049097,66049
0.088297,0.07608,66049
0.090809,0.048359,66049
0.089315,0.070943,66049
0.098388,0.054402,66049
0.106733,0.056347,66049
0.092109,0.051997,66049
0.094105,0.047635,66049
0.093427,0.04803,66049
0.104362,0.08488,66049
0.095234,0.053839,66049
0.088459,0.050353,66049
0.082327,0.053688,66049
0.096283,0.054748,66049
0.084263,0.053839,66049
0.468909,0.096794,263169
0.489018,0.14563,263169
0.462014,0.1929,263169
0.481181,0.093713,263169
0.472232,0.183241,263169
0.494018,0.163934,263169
0.511392,0.17316,263169
0.487258,0.171706,263169
0.503414,0.097577,263169
0.547088,0.096912,263169
0.50552,0.145123,263169
0.553592,0.248252,263169
0.493164,0.140349,263169
0.497602,0.177248,263169
0.497437,0.18675,263169
0.555705,0.247399,263169
0.487861,0.175244,263169
0.480999,0.136901,263169
0.511022,0.199534,263169
0.478599,0.13969,263169
0.505467,0.211503,263169
0.481123,0.164451,263169
0.489517,0.197201,263169
0.478215,0.12349,263169
0.488088,0.166582,263169
0.498791,0.169716,263169
0.490333,0.128646,263169
0.4825,0.185391,263169
0.501909,0.095575,263169
0.493779,0.150628,263169
0.472736,0.180615,263169
0.492329,0.169877,263169
0.495886,0.163788,263169
0.489828,0.131903,263169
0.47616,0.13142,263169
0.471109,0.140846,263169
0.484713,0.191759,263169
0.469241,0.161341,263169
0.48089,0.178993,263169
0.492316,0.197113,263169
0.478091,0.150076,263169
0.477768,0.202635,263169
0.480929,0.094515,263169
0.551905,0.212967,263169
0.48529,0.101553,263169
0.490188,0.094479,263169
0.468628,0.140079,263169
0.519845,0.162874,263169
0.491253,0.093972,263169
0.565903,0.272059,263169
1.961654,0.415058,1050625
1.896237,0.41069,1050625
1.992382,0.45179,1050625
1.973053,0.418713,1050625
1.96197,0.481199,1050625
1.982862,0.408438,1050625
1.952281,0.505845,1050625
2.136422,0.505902,1050625
2.018656,0.414479,1050625
1.991713,0.412836,1050625
2.118208,0.481014,1050625
1.951326,0.481823,1050625
1.900554,0.419789,1050625
2.108054,0.496029,1050625
1.940143,0.4881,1050625
1.975174,0.463545,1050625
1.909293,0.486852,1050625
1.989055,0.416241,1050625
1.957831,0.413739,1050625
1.903823,0.483684,1050625
2.080987,0.409422,1050625
1.900477,0.483022,1050625
1.926019,0.51667,1050625
1.937906,0.466898,1050625
1.891588,0.468511,1050625
1.953258,0.477834,1050625
1.960058,0.482604,1050625
2.015375,0.428372,1050625
1.991259,0.415191,1050625
1.932808,0.512578,1050625
1.974946,0.414435,1050625
1.894911,0.423297,1050625
1.972102,0.409934,1050625
2.112825,0.523736,1050625
2.045097,0.415593,1050625
1.956581,0.485256,1050625
1.951828,0.491448,1050625
2.009336,0.410546,1050625
1.870105,0.474378,1050625
1.886843,0.478928,1050625
1.937317,0.514373,1050625
1.924593,0.485926,1050625
1.960821,0.522178,1050625
1.940282,0.479641,1050625
1.954052,0.47943,1050625
1.976854,0.412614,1050625
2.002908,0.43642,1050625
1.925793,0.479953,1050625
1.908946,0.484046,1050625
2.084718,0.495155,1050625
8.621194,1.9583,4198401
8.18587,1.642557,4198401
8.072172,2.032203,4198401
7.779005,1.893579,4198401
7.583872,1.886687,4198401
8.318326,1.625884,4198401
7.976374,1.904807,4198401
7.643987,1.869301,4198401
8.222046,1.652897,4198401
8.138513,1.907329,4198401
8.681649,1.928207,4198401
8.110801,1.711283,4198401
8.176922,1.642519,4198401
8.562535,1.928035,4198401
8.276657,1.648657,4198401
7.742095,1.64168,4198401
8.113773,1.677611,4198401
8.243901,1.630034,4198401
8.071919,1.709124,4198401
8.090549,1.622608,4198401
7.948836,1.914468,4198401
8.242586,1.922023,4198401
8.428187,1.632263,4198401
8.092282,2.07298,4198401
7.822438,1.6364,4198401
7.893809,1.851417,4198401
8.161747,1.758468,4198401
7.791486,1.820851,4198401
8.329246,1.709385,4198401
8.264642,1.666392,4198401
7.711289,1.903651,4198401
8.311487,1.649901,4198401
8.129138,1.644164,4198401
7.845706,1.646587,4198401
8.248359,1.927891,4198401
8.089033,1.657227,4198401
8.241527,1.66518,4198401
7.988807,1.776252,4198401
7.939555,1.892879,4198401
7.866463,1.664112,4198401
8.293822,1.634107,4198401
7.781782,1.902327,4198401
8.170915,1.856686,4198401
7.744294,1.633426,4198401
8.024142,1.668649,4198401
8.710524,2.023048,4198401
8.186616,1.642522,4198401
8.238463,1.914818,4198401
7.756989,1.891782,4198401
8.061798,1.62726,4198401
