TempoAlocacao,Tempo,Particionamento,Nucleos,Pontos
0.000784,0.017226,LinhaRoundRobin,8 sparks,16641
0.006,0.01016,LinhaRoundRobin,8 sparks,16641
0.007345,0.01099,LinhaRoundRobin,8 sparks,16641
0.006119,0.01024,LinhaRoundRobin,8 sparks,16641
0.006885,0.010072,LinhaRoundRobin,8 sparks,16641
0.000868,0.018829,LinhaRoundRobin,8 sparks,16641
0.008082,0.010177,LinhaRoundRobin,8 sparks,16641
0.000827,0.012553,LinhaRoundRobin,8 sparks,16641
0.006184,0.00989,LinhaRoundRobin,8 sparks,16641
0.006222,0.014304,LinhaRoundRobin,8 sparks,16641
0.005827,0.013685,LinhaRoundRobin,8 sparks,16641
0.010675,0.007794,LinhaRoundRobin,8 sparks,16641
0.009486,0.008462,LinhaRoundRobin,8 sparks,16641
0.005886,0.011883,LinhaRoundRobin,8 sparks,16641
0.00908,0.01313,LinhaRoundRobin,8 sparks,16641
0.006712,0.010397,LinhaRoundRobin,8 sparks,16641
0.013476,0.010197,LinhaRoundRobin,8 sparks,16641
0.006756,0.011313,LinhaRoundRobin,8 sparks,16641
0.005458,0.010356,LinhaRoundRobin,8 sparks,16641
0.006455,0.009868,LinhaRoundRobin,8 sparks,16641
0.007588,0.014755,LinhaRoundRobin,8 sparks,16641
0.005289,0.0138,LinhaRoundRobin,8 sparks,16641
0.005225,0.014692,LinhaRoundRobin,8 sparks,16641
0.006606,0.010164,LinhaRoundRobin,8 sparks,16641
0.00354,0.012982,LinhaRoundRobin,8 sparks,16641
0.006051,0.011596,LinhaRoundRobin,8 sparks,16641
0.005863,0.014618,LinhaRoundRobin,8 sparks,16641
0.001036,0.017332,LinhaRoundRobin,8 sparks,16641
0.000821,0.018361,LinhaRoundRobin,8 sparks,16641
0.005681,0.013902,LinhaRoundRobin,8 sparks,16641
0.004646,0.013305,LinhaRoundRobin,8 sparks,16641
0.006129,0.010059,LinhaRoundRobin,8 sparks,16641
0.005439,0.012942,LinhaRoundRobin,8 sparks,16641
0.008866,0.010409,LinhaRoundRobin,8 sparks,16641
0.005873,0.010582,LinhaRoundRobin,8 sparks,16641
0.008634,0.010371,LinhaRoundRobin,8 sparks,16641
0.007006,0.010096,LinhaRoundRobin,8 sparks,16641
0.005344,0.013826,LinhaRoundRobin,8 sparks,16641
0.006672,0.01024,LinhaRoundRobin,8 sparks,16641
0.005658,0.013345,LinhaRoundRobin,8 sparks,16641
0.005844,0.011423,LinhaRoundRobin,8 sparks,16641
0.006492,0.009985,LinhaRoundRobin,8 sparks,16641
0.004964,0.013464,LinhaRoundRobin,8 sparks,16641
0.00427,0.01284,LinhaRoundRobin,8 sparks,16641
0.001045,0.016329,LinhaRoundRobin,16 sparks,16641
0.001287,0.017992,LinhaRoundRobin,16 sparks,16641
0.001152,0.019196,LinhaRoundRobin,16 sparks,16641
0.001262,0.014747,LinhaRoundRobin,16 sparks,16641
0.001115,0.022482,LinhaRoundRobin,16 sparks,16641
0.001333,0.021242,LinhaRoundRobin,16 sparks,16641
0.001162,0.015244,LinhaRoundRobin,16 sparks,16641
0.001133,0.018054,LinhaRoundRobin,16 sparks,16641
0.001235,0.018419,LinhaRoundRobin,16 sparks,16641
0.001241,0.019995,LinhaRoundRobin,16 sparks,16641
0.001302,0.019593,LinhaRoundRobin,16 sparks,16641
0.001211,0.01759,LinhaRoundRobin,16 sparks,16641
0.001121,0.016877,LinhaRoundRobin,16 sparks,16641
0.001072,0.024631,LinhaRoundRobin,16 sparks,16641
0.0012,0.028681,LinhaRoundRobin,16 sparks,16641
0.001314,0.017788,LinhaRoundRobin,16 sparks,16641
0.001111,0.017903,LinhaRoundRobin,16 sparks,16641
0.001078,0.016697,LinhaRoundRobin,16 sparks,16641
0.001199,0.018108,LinhaRoundRobin,16 sparks,16641
0.001252,0.015077,LinhaRoundRobin,16 sparks,16641
0.001041,0.01576,LinhaRoundRobin,16 sparks,16641
0.001018,0.01539,LinhaRoundRobin,16 sparks,16641
0.001214,0.014885,LinhaRoundRobin,16 sparks,16641
0.001361,0.015732,LinhaRoundRobin,16 sparks,16641
0.001286,0.019688,LinhaRoundRobin,16 sparks,16641
0.001317,0.021313,LinhaRoundRobin,16 sparks,16641
0.001245,0.025056,LinhaRoundRobin,16 sparks,16641
0.001315,0.022362,LinhaRoundRobin,16 sparks,16641
0.00122,0.015108,LinhaRoundRobin,16 sparks,16641
0.001246,0.015461,LinhaRoundRobin,16 sparks,16641
0.001257,0.014785,LinhaRoundRobin,16 sparks,16641
0.001196,0.01831,LinhaRoundRobin,16 sparks,16641
0.001289,0.018319,LinhaRoundRobin,16 sparks,16641
0.001136,0.015813,LinhaRoundRobin,16 sparks,16641
0.001303,0.01662,LinhaRoundRobin,16 sparks,16641
0.001025,0.018551,LinhaRoundRobin,16 sparks,16641
0.001257,0.017781,LinhaRoundRobin,16 sparks,16641
0.001236,0.022584,LinhaRoundRobin,16 sparks,16641
0.001203,0.017696,LinhaRoundRobin,16 sparks,16641
0.00132,0.015357,LinhaRoundRobin,16 sparks,16641
0.001278,0.016908,LinhaRoundRobin,16 sparks,16641
0.001274,0.018297,LinhaRoundRobin,16 sparks,16641
0.001086,0.018594,LinhaRoundRobin,16 sparks,16641
0.001287,0.017808,LinhaRoundRobin,16 sparks,16641
0.000932,0.017738,LinhaRoundRobin,16 sparks,16641
0.001206,0.017182,LinhaRoundRobin,16 sparks,16641
0.001094,0.018289,LinhaRoundRobin,16 sparks,16641
0.001176,0.015869,LinhaRoundRobin,16 sparks,16641
0.001196,0.015885,LinhaRoundRobin,16 sparks,16641
0.00116,0.018585,LinhaRoundRobin,16 sparks,16641
0.00848,0.093581,LinhaRoundRobin,2 sparks,66049
0.008185,0.093819,LinhaRoundRobin,2 sparks,66049
0.008285,0.093784,LinhaRoundRobin,2 sparks,66049
0.008282,0.094302,LinhaRoundRobin,2 sparks,66049
0.008109,0.093608,LinhaRoundRobin,2 sparks,66049
0.008468,0.099405,LinhaRoundRobin,2 sparks,66049
0.008042,0.094064,LinhaRoundRobin,2 sparks,66049
0.008439,0.094059,LinhaRoundRobin,2 sparks,66049
0.008416,0.094109,LinhaRoundRobin,2 sparks,66049
0.00813,0.093741,LinhaRoundRobin,2 sparks,66049
0.008403,0.093452,LinhaRoundRobin,2 sparks,66049
0.008511,0.09389,LinhaRoundRobin,2 sparks,66049
0.008203,0.093103,LinhaRoundRobin,2 sparks,66049
0.008219,0.093592,LinhaRoundRobin,2 sparks,66049
0.006978,0.089586,LinhaRoundRobin,2 sparks,66049
0.006828,0.088966,LinhaRoundRobin,2 sparks,66049
0.008416,0.093191,LinhaRoundRobin,2 sparks,66049
0.008352,0.09368,LinhaRoundRobin,2 sparks,66049
0.008269,0.09366,LinhaRoundRobin,2 sparks,66049
0.008476,0.094854,LinhaRoundRobin,2 sparks,66049
0.008241,0.094102,LinhaRoundRobin,2 sparks,66049
0.007039,0.088997,LinhaRoundRobin,2 sparks,66049
0.008468,0.093651,LinhaRoundRobin,2 sparks,66049
