TempoAlocacao,Tempo,Pontos
0.016483,0.022336,16641
0.009932,0.023868,16641
0.015149,0.02314,16641
0.00989,0.026286,16641
0.016055,0.026916,16641
0.015098,0.022958,16641
0.009804,0.026384,16641
0.009667,0.020367,16641
0.015633,0.023158,16641
0.014304,0.022696,16641
0.015362,0.023311,16641
0.013666,0.029155,16641
0.015419,0.023282,16641
0.009931,0.026069,16641
0.00987,0.026353,16641
0.009883,0.026432,16641
0.009848,0.0262,16641
0.013152,0.021408,16641
0.014988,0.023345,16641
0.021159,0.030742,16641
0.010148,0.02629,16641
0.018389,0.02521,16641
0.020434,0.030698,16641
0.022446,0.021154,16641
0.009677,0.020177,16641
0.009717,0.026086,16641
0.013028,0.030421,16641
0.009751,0.025947,16641
0.009649,0.023338,16641
0.009851,0.026073,16641
0.009667,0.020332,16641
0.00961,0.022717,16641
0.015695,0.026971,16641
0.017171,0.022999,16641
0.009616,0.020986,16641
0.013332,0.028649,16641
0.009701,0.020123,16641
0.014437,0.0223,16641
0.009825,0.026036,16641
0.016176,0.025821,16641
0.009769,0.024288,16641
0.009958,0.028231,16641
0.013003,0.031427,16641
0.013566,0.022259,16641
0.009757,0.029921,16641
0.009695,0.020763,16641
0.016576,0.022997,16641
0.009696,0.026448,16641
0.014916,0.022365,16641
0.017057,0.023164,16641
0.053616,0.091337,66049
0.066657,0.091419,66049
0.056414,0.10462,66049
0.045339,0.096038,66049
0.063687,0.102283,66049
0.07256,0.103929,66049
0.04516,0.098073,66049
0.088748,0.091897,66049
0.057234,0.098345,66049
0.047828,0.105095,66049
0.078793,0.09035,66049
0.0447,0.101897,66049
0.048994,0.084576,66049
0.045131,0.113986,66049
0.064888,0.099552,66049
0.070188,0.101334,66049
0.058738,0.098787,66049
0.067502,0.090169,66049
0.084097,0.102758,66049
0.06843,0.095216,66049
0.065151,0.102809,66049
0.055418,0.099019,66049
0.053477,0.09625,66049
0.06943,0.097351,66049
0.04501,0.10861,66049
0.046753,0.098263,66049
0.044661,0.108122,66049
0.073583,0.091485,66049
0.074809,0.114424,66049
0.045908,0.105599,66049
0.056913,0.101054,66049
0.066136,0.107081,66049
0.060886,0.084013,66049
0.073987,0.094404,66049
0.05991,0.097911,66049
0.068892,0.103901,66049
0.067666,0.099874,66049
0.059759,0.100282,66049
0.048089,0.106211,66049
0.045511,0.084266,66049
0.04516,0.106428,66049
0.063927,0.10109,66049
0.084092,0.093736,66049
0.080617,0.09631,66049
0.052989,0.098321,66049
0.052431,0.090072,66049
0.076613,0.096081,66049
0.046677,0.097284,66049
0.05834,0.102977,66049
0.0618,0.098945,66049
0.447002,0.360898,263169
0.285079,0.321347,263169
0.459854,0.356646,263169
0.400291,0.339485,263169
0.379741,0.404107,263169
0.451673,0.338261,263169
0.434647,0.34177,263169
0.289531,0.41554,263169
0.429576,0.334008,263169
0.321208,0.364508,263169
0.29997,0.319098,263169
0.443878,0.336747,263169
0.283644,0.39175,263169
0.298061,0.322064,263169
0.297516,0.375174,263169
0.298793,0.357179,263169
0.413048,0.395104,263169
0.392858,0.402913,263169
0.417988,0.338311,263169
0.323583,0.361155,263169
0.351114,0.341252,263169
0.354924,0.322192,263169
0.43838,0.421727,263169
0.330517,0.360199,263169
0.387767,0.343026,263169
0.298419,0.334463,263169
0.429046,0.337513,263169
0.449447,0.354775,263169
0.348608,0.34306,263169
0.292773,0.361029,263169
0.428931,0.337967,263169
0.394797,0.370421,263169
0.274815,0.364194,263169
0.372456,0.324476,263169
0.441821,0.346378,263169
0.526991,0.344213,263169
0.284967,0.368345,263169
0.294282,0.368273,263169
0.393695,0.383863,263169
0.371021,0.324455,263169
0.295321,0.353059,263169
0.291405,0.36975,263169
0.279005,0.396405,263169
0.362228,0.352883,263169
0.305921,0.365127,263169
0.302051,0.366366,263169
0.328489,0.349686,263169
0.285125,0.353029,263169
0.494198,0.349683,263169
0.298003,0.370225,263169
1.828557,1.64904,1050625
1.480034,1.398943,1050625
1.943308,1.583264,1050625
1.742545,1.516055,1050625
2.212263,1.600192,1050625
1.351648,1.521866,1050625
2.465116,1.642986,1050625
1.424846,1.448772,1050625
2.237496,1.419642,1050625
1.833701,1.509725,1050625
1.869359,1.551047,1050625
1.406657,1.453544,1050625
2.05585,1.531218,1050625
1.578461,1.371882,1050625
1.414374,1.447741,1050625
1.543546,1.513469,1050625
1.809061,1.572901,1050625
1.758915,1.956573,1050625
2.12706,1.546389,1050625
1.55159,1.470575,1050625
1.788183,1.498291,1050625
1.512158,1.511862,1050625
1.804079,1.524618,1050625
2.198745,1.607557,1050625
1.390572,1.35605,1050625
2.169537,1.53788,1050625
1.430621,1.449481,1050625
1.396716,1.448204,1050625
2.167935,1.594063,1050625
1.686233,1.356407,1050625
1.721145,1.472628,1050625
2.075185,1.558454,1050625
1.385195,1.58561,1050625
1.94457,1.424981,1050625
1.190922,1.492998,1050625
1.522807,1.457821,1050625
1.488546,1.572713,1050625
2.259596,1.743988,1050625
2.26714,1.416429,1050625
1.401618,1.466543,1050625
1.454842,1.653092,1050625
2.279754,1.571157,1050625
1.876971,1.511718,1050625
1.462989,1.64338,1050625
1.476199,1.502925,1050625
1.804701,1.562323,1050625
2.068991,1.488331,1050625
1.385216,1.440921,1050625
1.9766,1.592562,1050625
1.560284,1.458251,1050625
5.123751,5.804527,4198401
4.763565,5.820849,4198401
5.949367,5.902724,4198401
5.184604,7.334485,4198401
5.246879,5.813717,4198401
6.062174,5.781341,4198401
5.474652,5.658241,4198401
5.599583,5.748497,4198401
6.096879,5.804816,4198401
5.461605,5.773838,4198401
5.371202,5.78638,4198401
5.162418,6.033501,4198401
5.779296,5.878086,4198401
5.341059,5.819111,4198401
5.640539,5.72387,4198401
5.583965,5.723723,4198401
5.184281,5.808895,4198401
6.061976,6.566072,4198401
5.653998,5.717458,4198401
6.573871,6.805658,4198401
6.076546,5.471785,4198401
6.282469,5.444519,4198401
5.650719,5.52402,4198401
4.573819,5.375351,4198401
5.706231,5.366257,4198401
5.716629,5.764235,4198401
4.428714,5.398505,4198401
6.121614,5.723195,4198401
5.307671,5.369545,4198401
6.32996,5.801964,4198401
5.530854,5.758777,4198401
6.235775,5.72699,4198401
5.594416,5.722744,4198401
4.597565,5.37861,4198401
6.800299,5.465588,4198401
6.016858,5.459473,4198401
4.598996,5.358943,4198401
6.253989,5.77965,4198401
6.346711,5.797541,4198401
5.712424,5.697633,4198401
5.337225,5.357945,4198401
5.300561,5.856939,4198401
4.623974,5.374079,4198401
5.684296,5.695395,4198401
5.713728,5.911407,4198401
5.487181,5.83563,4198401
5.092546,5.375733,4198401
5.712396,5.816065,4198401
6.29061,5.777455,4198401
5.434352,5.721656,4198401
