TempoAlocacao,Tempo,Pontos
0.009898,0.028608,16641
0.009302,0.028967,16641
0.009252,0.028656,16641
0.009396,0.028853,16641
0.009231,0.027946,16641
0.009257,0.02781,16641
0.009307,0.028994,16641
0.009307,0.028805,16641
0.009229,0.028668,16641
0.009471,0.029511,16641
0.011548,0.031788,16641
0.009401,0.028836,16641
0.009237,0.028013,16641
0.009271,0.028005,16641
0.009363,0.028816,16641
0.009297,0.028935,16641
0.009235,0.028824,16641
0.011944,0.030687,16641
0.009661,0.02857,16641
0.009284,0.028859,16641
0.009324,0.027973,16641
0.009366,0.028773,16641
0.009258,0.028845,16641
0.009268,0.027963,16641
0.009289,0.028123,16641
0.009368,0.028857,16641
0.009265,0.028644,16641
0.009237,0.027952,16641
0.009235,0.029043,16641
0.009354,0.028113,16641
0.009297,0.028101,16641
0.009375,0.028889,16641
0.009346,0.028788,16641
0.0093,0.028056,16641
0.009254,0.028641,16641
0.009268,0.028916,16641
0.009308,0.028764,16641
0.009255,0.028718,16641
0.009309,0.028812,16641
0.00926,0.028043,16641
0.009236,0.027968,16641
0.009245,0.028766,16641
0.009292,0.028874,16641
0.009269,0.02818,16641
0.009238,0.028774,16641
0.009284,0.028799,16641
0.009332,0.028828,16641
0.009257,0.027896,16641
0.009276,0.028829,16641
0.009261,0.028877,16641
0.043041,0.113957,66049
0.043379,0.114121,66049
0.043461,0.112999,66049
0.059003,0.106575,66049
0.051637,0.121508,66049
0.044295,0.117073,66049
0.055085,0.106599,66049
0.047016,0.1127,66049
0.043445,0.114242,66049
0.044543,0.114177,66049
0.043249,0.113241,66049
0.043218,0.113788,66049
0.044048,0.11416,66049
0.043538,0.11278,66049
0.053675,0.109066,66049
0.044254,0.112563,66049
0.043508,0.114279,66049
0.043588,0.114357,66049
0.043957,0.113894,66049
0.044152,0.114328,66049
0.043233,0.112581,66049
0.044047,0.114183,66049
0.059698,0.105915,66049
0.043665,0.112599,66049
0.043343,0.114179,66049
0.043376,0.113824,66049
0.044257,0.113911,66049
0.043531,0.113224,66049
0.043298,0.114256,66049
0.043249,0.114117,66049
0.042919,0.11366,66049
0.052775,0.120325,66049
0.045123,0.114319,66049
0.044536,0.112827,66049
0.042942,0.112963,66049
0.053849,0.104779,66049
0.053058,0.106537,66049
0.04329,0.113818,66049
0.043156,0.114031,66049
0.044508,0.113978,66049
0.059466,0.104635,66049
0.043187,0.114086,66049
0.044116,0.113901,66049
0.054918,0.104883,66049
0.043468,0.113978,66049
0.044052,0.112812,66049
0.044514,0.113695,66049
0.043305,0.114024,66049
0.053155,0.106225,66049
0.043406,0.112627,66049
0.243552,0.452533,263169
0.250675,0.452019,263169
0.24222,0.457582,263169
0.244827,0.453491,263169
0.24457,0.452925,263169
0.243409,0.457641,263169
0.244246,0.459226,263169
0.244691,0.458431,263169
0.241799,0.453106,263169
0.255757,0.453178,263169
0.245947,0.453194,263169
0.243075,0.452832,263169
0.25008,0.454449,263169
0.242381,0.452888,263169
0.243848,0.457791,263169
0.245978,0.453824,263169
0.244387,0.456671,263169
0.245415,0.45919,263169
0.24555,0.452946,263169
0.244904,0.453727,263169
0.242421,0.456958,263169
0.291989,0.477958,263169
0.242022,0.458671,263169
0.243228,0.456349,263169
0.242775,0.458171,263169
0.244389,0.456764,263169
0.257683,0.453341,263169
0.245035,0.457524,263169
0.243577,0.452481,263169
0.244777,0.452572,263169
0.24744,0.451746,263169
0.24498,0.456059,263169
0.242254,0.457586,263169
0.244689,0.453727,263169
0.245455,0.458616,263169
0.244671,0.458199,263169
0.302707,0.484118,263169
0.243959,0.453379,263169
0.242197,0.457868,263169
0.245155,0.454997,263169
0.245905,0.453263,263169
0.244344,0.457096,263169
0.245265,0.452753,263169
0.244595,0.453242,263169
0.244618,0.459041,263169
0.24366,0.452604,263169
0.24309,0.45388,263169
0.243872,0.452982,263169
0.242786,0.453254,263169
0.243283,0.453243,263169
1.332151,1.744476,1050625
1.301846,1.757439,1050625
1.302151,1.738368,1050625
1.304933,1.736641,1050625
1.295569,1.747805,1050625
1.30766,1.750097,1050625
1.32031,1.739681,1050625
1.299828,1.807113,1050625
1.876103,1.784819,1050625
1.324201,1.745017,1050625
1.341303,1.763848,1050625
1.294484,1.760883,1050625
1.322677,1.742464,1050625
1.293734,1.786314,1050625
1.925171,1.787066,1050625
1.300387,1.740775,1050625
1.327109,1.785953,1050625
1.301007,1.73873,1050625
1.319409,1.763521,1050625
1.296073,1.735532,1050625
1.302758,1.74552,1050625
1.307237,1.741015,1050625
1.299216,1.756334,1050625
1.298584,1.735605,1050625
1.302341,1.738022,1050625
1.292734,1.738062,1050625
1.305573,1.739525,1050625
1.298737,1.788347,1050625
1.295825,1.751303,1050625
1.496705,1.73314,1050625
1.300575,1.79432,1050625
1.300169,1.737484,1050625
1.300324,1.79416,1050625
1.305446,1.788702,1050625
1.346456,1.765391,1050625
1.303981,1.740429,1050625
1.30169,1.74263,1050625
1.296224,1.748213,1050625
1.302014,1.757329,1050625
1.299305,1.748713,1050625
1.328577,1.767606,1050625
1.294728,1.739259,1050625
1.491656,1.731279,1050625
1.294352,1.743005,1050625
1.301188,1.738951,1050625
1.298034,1.736425,1050625
1.289604,1.738171,1050625
1.301303,1.740735,1050625
1.294805,1.757354,1050625
1.29702,1.787075,1050625
4.814319,7.190835,4198401
5.143506,7.191274,4198401
5.145561,7.192559,4198401
4.558268,7.158463,4198401
4.816611,7.172754,4198401
4.762166,7.153439,4198401
5.353974,7.575574,4198401
5.203433,7.299195,4198401
5.162296,7.217236,4198401
5.140463,7.246617,4198401
5.789485,7.202305,4198401
5.138898,7.191101,4198401
4.736849,7.186588,4198401
5.102497,7.167434,4198401
5.164962,7.189328,4198401
4.821316,7.195358,4198401
5.167088,7.178968,4198401
4.805376,7.192978,4198401
5.190021,7.28738,4198401
5.197677,7.192509,4198401
5.717691,7.523607,4198401
5.081438,7.197704,4198401
5.188816,7.222166,4198401
5.320699,7.131917,4198401
4.687439,7.24923,4198401
5.145766,7.182244,4198401
5.155411,7.213971,4198401
4.721718,7.189027,4198401
5.148393,7.213907,4198401
4.871964,7.193558,4198401
5.848849,7.539201,4198401
4.860831,7.191038,4198401
4.77299,7.21196,4198401
5.055494,7.188021,4198401
4.751637,7.189742,4198401
5.131687,7.250953,4198401
5.166874,7.193007,4198401
4.786668,7.205584,4198401
5.134055,7.165944,4198401
4.858106,7.179606,4198401
5.149094,7.199402,4198401
4.822149,7.199553,4198401
4.749967,7.181104,4198401
5.152034,7.19558,4198401
5.143547,7.195718,4198401
5.184288,7.20671,4198401
4.846795,7.191703,4198401
4.729731,7.232426,4198401
5.08513,7.546302,4198401
5.177754,7.19017,4198401
