2, 16641, "Coluna RoundRobin", 0.031529s, 0.122651s

2, 16641, "Coluna RoundRobin", 0.030382s, 0.120069s

2, 16641, "Coluna RoundRobin", 0.021412s, 0.106403s

2, 16641, "Coluna RoundRobin", 0.029576s, 0.163845s

2, 16641, "Coluna RoundRobin", 0.021219s, 0.108355s

2, 16641, "Coluna RoundRobin", 0.026741s, 0.149449s

2, 16641, "Coluna RoundRobin", 0.027603s, 0.118822s

2, 16641, "Coluna RoundRobin", 0.023619s, 0.111533s

2, 16641, "Coluna RoundRobin", 0.028766s, 0.122771s

2, 16641, "Coluna RoundRobin", 0.028824s, 0.11957s

2, 16641, "Coluna RoundRobin", 0.020717s, 0.106195s

2, 16641, "Coluna RoundRobin", 0.027223s, 0.117777s

2, 16641, "Coluna RoundRobin", 0.028535s, 0.12279s

2, 16641, "Coluna RoundRobin", 0.029679s, 0.117294s

2, 16641, "Coluna RoundRobin", 0.021379s, 0.113347s

2, 16641, "Coluna RoundRobin", 0.027987s, 0.117726s

2, 16641, "Coluna RoundRobin", 0.028877s, 0.124895s

2, 16641, "Coluna RoundRobin", 0.027619s, 0.116873s

2, 16641, "Coluna RoundRobin", 0.027528s, 0.116338s

2, 16641, "Coluna RoundRobin", 0.028319s, 0.129119s

2, 16641, "Coluna RoundRobin", 0.02844s, 0.119637s

2, 16641, "Coluna RoundRobin", 0.025271s, 0.108079s

2, 16641, "Coluna RoundRobin", 0.022861s, 0.113224s

2, 16641, "Coluna RoundRobin", 0.022963s, 0.112615s

2, 16641, "Coluna RoundRobin", 0.022118s, 0.115248s

2, 16641, "Coluna RoundRobin", 0.028466s, 0.11796s

2, 16641, "Coluna RoundRobin", 0.020963s, 0.105945s

2, 16641, "Coluna RoundRobin", 0.020632s, 0.10651s

2, 16641, "Coluna RoundRobin", 0.027365s, 0.122025s

2, 16641, "Coluna RoundRobin", 0.028159s, 0.117644s

2, 16641, "Coluna RoundRobin", 0.026616s, 0.121384s

2, 16641, "Coluna RoundRobin", 0.026462s, 0.121397s

2, 16641, "Coluna RoundRobin", 0.02153s, 0.108579s

2, 16641, "Coluna RoundRobin", 0.026173s, 0.117639s

2, 16641, "Coluna RoundRobin", 0.028s, 0.114817s

2, 16641, "Coluna RoundRobin", 0.026583s, 0.115367s

2, 16641, "Coluna RoundRobin", 0.023436s, 0.110532s

2, 16641, "Coluna RoundRobin", 0.020776s, 0.10431s

2, 16641, "Coluna RoundRobin", 0.02875s, 0.121692s

2, 16641, "Coluna RoundRobin", 0.026102s, 0.116556s

2, 16641, "Coluna RoundRobin", 0.026477s, 0.117689s

2, 16641, "Coluna RoundRobin", 0.031316s, 0.123027s

