TempoAlocacao,Tempo,Pontos
0.031529,0.122651,16641
0.030382,0.120069,16641
0.021412,0.106403,16641
0.029576,0.163845,16641
0.021219,0.108355,16641
0.026741,0.149449,16641
0.027603,0.118822,16641
0.023619,0.111533,16641
0.028766,0.122771,16641
0.028824,0.11957,16641
0.020717,0.106195,16641
0.027223,0.117777,16641
0.028535,0.12279,16641
0.029679,0.117294,16641
0.021379,0.113347,16641
0.027987,0.117726,16641
0.028877,0.124895,16641
0.027619,0.116873,16641
0.027528,0.116338,16641
0.028319,0.129119,16641
0.02844,0.119637,16641
0.025271,0.108079,16641
0.022861,0.113224,16641
0.022963,0.112615,16641
0.022118,0.115248,16641
0.028466,0.11796,16641
0.020963,0.105945,16641
0.020632,0.10651,16641
0.027365,0.122025,16641
0.028159,0.117644,16641
0.026616,0.121384,16641
0.026462,0.121397,16641
0.02153,0.108579,16641
0.026173,0.117639,16641
0.028,0.114817,16641
0.026583,0.115367,16641
0.023436,0.110532,16641
0.020776,0.10431,16641
0.02875,0.121692,16641
0.026102,0.116556,16641
0.026477,0.117689,16641
0.031316,0.123027,16641
0.030575,0.121888,16641
0.029292,0.120368,16641
0.022471,0.107584,16641
0.02714,0.119243,16641
0.027815,0.115436,16641
0.020964,0.108368,16641
0.028255,0.117068,16641
0.028874,0.119388,16641
0.091543,0.44506,66049
0.12448,0.458916,66049
0.116725,0.435003,66049
0.153666,0.463321,66049
0.089679,0.448455,66049
0.136404,0.476077,66049
0.138332,0.470807,66049
0.110866,0.495208,66049
0.15279,0.449413,66049
0.112448,0.474092,66049
0.089467,0.46306,66049
0.111988,0.480397,66049
0.113193,0.460636,66049
0.115369,0.464856,66049
0.141858,0.465595,66049
0.109114,0.458725,66049
0.11388,0.488758,66049
0.113756,0.464171,66049
0.151322,0.47144,66049
0.089433,0.451341,66049
0.140893,0.455771,66049
0.115353,0.451742,66049
0.140957,0.447031,66049
0.088668,0.453785,66049
0.113481,0.456834,66049
0.141001,0.45761,66049
0.088642,0.452367,66049
0.108219,0.436681,66049
0.112119,0.490175,66049
0.16582,0.507219,66049
0.117302,0.484486,66049
0.131343,0.444354,66049
0.092683,0.459443,66049
0.092658,0.474369,66049
0.089236,0.438696,66049
0.135602,0.478754,66049
0.122372,0.526541,66049
0.115461,0.445043,66049
0.107885,0.463937,66049
0.153758,0.49404,66049
0.167581,0.476427,66049
0.17083,0.487473,66049
0.118282,0.473606,66049
0.117299,0.445321,66049
0.09202,0.442108,66049
0.101791,0.438943,66049
0.114224,0.52499,66049
0.125081,0.492711,66049
0.113887,0.439254,66049
0.142473,0.460084,66049
0.585483,1.828688,263169
0.503895,1.908674,263169
0.483174,1.944382,263169
0.596075,1.873823,263169
0.614988,1.884138,263169
0.504354,1.934378,263169
0.621206,2.050649,263169
0.513901,1.972129,263169
0.619005,2.001258,263169
0.63862,2.017737,263169
0.612069,1.956031,263169
0.507841,1.88254,263169
0.608786,1.909169,263169
0.495143,1.955561,263169
0.619554,1.911602,263169
0.501575,1.989495,263169
0.495231,1.924662,263169
0.498305,1.911516,263169
0.490961,1.973195,263169
0.494742,1.971923,263169
0.473157,1.94607,263169
0.48998,1.923516,263169
0.491867,1.925037,263169
0.487309,1.84637,263169
0.484704,1.918937,263169
0.49697,1.952236,263169
0.500096,1.922262,263169
0.508317,1.911622,263169
0.605075,1.877341,263169
0.63745,1.869824,263169
0.643473,2.14429,263169
0.641824,1.959129,263169
0.499697,1.91412,263169
0.546815,1.953263,263169
0.506431,1.964543,263169
0.565947,1.904825,263169
0.497352,1.960814,263169
0.578528,1.969469,263169
0.499459,1.910387,263169
0.614023,1.990767,263169
0.490893,1.83271,263169
0.641775,1.88764,263169
0.486202,1.960975,263169
0.496162,1.897709,263169
0.478567,1.934831,263169
0.481071,1.902307,263169
0.49424,1.912944,263169
0.490022,2.006098,263169
0.48019,1.925059,263169
0.483867,1.979708,263169
2.074034,7.773705,1050625
2.075733,8.144252,1050625
2.078115,8.151862,1050625
2.127114,8.162388,1050625
2.085454,8.232078,1050625
2.462733,8.161456,1050625
2.334022,8.47336,1050625
2.079141,8.238194,1050625
2.094978,8.147505,1050625
2.109644,8.573742,1050625
2.131572,8.316965,1050625
2.0982,7.637455,1050625
2.15604,7.729223,1050625
2.10132,8.197496,1050625
2.081944,8.159668,1050625
2.145296,8.050578,1050625
2.52658,8.043698,1050625
2.614727,7.808851,1050625
2.05034,8.309877,1050625
2.071887,7.409363,1050625
2.322483,8.158767,1050625
2.08765,7.973368,1050625
2.090953,7.594427,1050625
2.061319,8.124045,1050625
2.091407,7.909823,1050625
2.481253,7.798911,1050625
2.095941,7.968894,1050625
2.159468,7.587234,1050625
2.103768,8.0807,1050625
2.142265,8.138361,1050625
2.527012,8.281418,1050625
2.580866,8.420143,1050625
2.674408,7.8049,1050625
2.146715,8.548622,1050625
2.143006,7.581448,1050625
2.185361,7.972732,1050625
2.561553,8.432009,1050625
2.079891,7.703331,1050625
2.074077,7.669927,1050625
2.494866,8.563567,1050625
2.095047,7.869715,1050625
2.069097,7.959865,1050625
2.075089,7.914938,1050625
2.098863,8.025442,1050625
2.111387,8.044058,1050625
2.095189,8.211627,1050625
2.27014,8.32474,1050625
2.077179,8.047042,1050625
2.069747,7.905908,1050625
2.097853,8.215583,1050625
8.335557,30.110938,4198401
8.336158,28.949622,4198401
8.317945,29.41959,4198401
8.332792,29.21935,4198401
