2, 16641, "Linha Normal", 0.004402s, 0.024362s

2, 16641, "Linha Normal", 0.004679s, 0.02628s

2, 16641, "Linha Normal", 0.004393s, 0.026442s

2, 16641, "Linha Normal", 0.004189s, 0.024449s

2, 16641, "Linha Normal", 0.004244s, 0.026645s

2, 16641, "Linha Normal", 0.004292s, 0.026624s

2, 16641, "Linha Normal", 0.004151s, 0.024302s

2, 16641, "Linha Normal", 0.004608s, 0.026634s

2, 16641, "Linha Normal", 0.004333s, 0.026893s

2, 16641, "Linha Normal", 0.004555s, 0.026895s

2, 16641, "Linha Normal", 0.004522s, 0.027693s

2, 16641, "Linha Normal", 0.004464s, 0.024358s

2, 16641, "Linha Normal", 0.004152s, 0.024318s

2, 16641, "Linha Normal", 0.004605s, 0.027072s

2, 16641, "Linha Normal", 0.004523s, 0.025957s

2, 16641, "Linha Normal", 0.00421s, 0.026898s

2, 16641, "Linha Normal", 0.004483s, 0.026417s

2, 16641, "Linha Normal", 0.004533s, 0.026594s

2, 16641, "Linha Normal", 0.00433s, 0.024482s

2, 16641, "Linha Normal", 0.004184s, 0.024474s

2, 16641, "Linha Normal", 0.004611s, 0.026512s

2, 16641, "Linha Normal", 0.004703s, 0.027117s

2, 16641, "Linha Normal", 0.004532s, 0.026488s

2, 16641, "Linha Normal", 0.004576s, 0.026864s

2, 16641, "Linha Normal", 0.004523s, 0.026922s

2, 16641, "Linha Normal", 0.004497s, 0.0266s

2, 16641, "Linha Normal", 0.004545s, 0.026658s

2, 16641, "Linha Normal", 0.004486s, 0.026178s

2, 16641, "Linha Normal", 0.004489s, 0.026826s

2, 16641, "Linha Normal", 0.004502s, 0.02647s

2, 16641, "Linha Normal", 0.004219s, 0.026446s

2, 16641, "Linha Normal", 0.004245s, 0.026132s

2, 16641, "Linha Normal", 0.004496s, 0.02671s

2, 16641, "Linha Normal", 0.004563s, 0.026803s

2, 16641, "Linha Normal", 0.004462s, 0.027713s

2, 16641, "Linha Normal", 0.0045s, 0.026187s

2, 16641, "Linha Normal", 0.004393s, 0.024416s

2, 16641, "Linha Normal", 0.004569s, 0.026195s

2, 16641, "Linha Normal", 0.004198s, 0.02416s

2, 16641, "Linha Normal", 0.004124s, 0.024828s

2, 16641, "Linha Normal", 0.004265s, 0.026252s

2, 16641, "Linha Normal", 0.004288s, 0.026818s

2, 16641, "Linha Normal", 0.004551s, 0.026248s

2, 16641, "Linha Normal", 0.004461s, 0.026587s

2, 16641, "Linha Normal", 0.004073s, 0.024371s

2, 16641, "Linha Normal", 0.004598s, 0.026205s

2, 16641, "Linha Normal", 0.004211s, 0.026167s

2, 16641, "Linha Normal", 0.004363s, 0.026657s

2, 16641, "Linha Normal", 0.004317s, 0.026516s

2, 16641, "Linha Normal", 0.004278s, 0.026412s

2, 66049, "Linha Normal", 0.032528s, 0.103938s

2, 66049, "Linha Normal", 0.032556s, 0.103345s

2, 66049, "Linha Normal", 0.031685s, 0.101997s

2, 66049, "Linha Normal", 0.030957s, 0.102443s

2, 66049, "Linha Normal", 0.031487s, 0.102033s

2, 66049, "Linha Normal", 0.030884s, 0.101977s

2, 66049, "Linha Normal", 0.031286s, 0.10209s

2, 66049, "Linha Normal", 0.021493s, 0.094705s

2, 66049, "Linha Normal", 0.032535s, 0.102685s

2, 66049, "Linha Normal", 0.031717s, 0.103011s

2, 66049, "Linha Normal", 0.033019s, 0.103716s

2, 66049, "Linha Normal", 0.031363s, 0.103166s

2, 66049, "Linha Normal", 0.033847s, 0.103618s

2, 66049, "Linha Normal", 0.031719s, 0.102685s

2, 66049, "Linha Normal", 0.031027s, 0.102112s

2, 66049, "Linha Normal", 0.022281s, 0.095334s

2, 66049, "Linha Normal", 0.022124s, 0.095033s

2, 66049, "Linha Normal", 0.032319s, 0.103859s

2, 66049, "Linha Normal", 0.034282s, 0.104422s

2, 66049, "Linha Normal", 0.032867s, 0.103137s

2, 66049, "Linha Normal", 0.032084s, 0.10197s

2, 66049, "Linha Normal", 0.030873s, 0.101921s

2, 66049, "Linha Normal", 0.033509s, 0.103086s

2, 66049, "Linha Normal", 0.021626s, 0.095029s

2, 66049, "Linha Normal", 0.033409s, 0.103374s

2, 66049, "Linha Normal", 0.031691s, 0.101704s

2, 66049, "Linha Normal", 0.030685s, 0.102309s

2, 66049, "Linha Normal", 0.032143s, 0.102139s

2, 66049, "Linha Normal", 0.030567s, 0.102378s

2, 66049, "Linha Normal", 0.022201s, 0.094622s

2, 66049, "Linha Normal", 0.030373s, 0.102497s

