16, 16384.0, "Linha Normal", 0.001051s, 0.02105s

16, 16384.0, "Linha Normal", 0.001172s, 0.021332s

16, 16384.0, "Linha Normal", 0.000994s, 0.021407s

16, 16384.0, "Linha Normal", 0.001097s, 0.020526s

16, 16384.0, "Linha Normal", 0.001135s, 0.020557s

16, 16384.0, "Linha Normal", 0.001366s, 0.02411s

16, 16384.0, "Linha Normal", 0.001012s, 0.020445s

16, 16384.0, "Linha Normal", 0.000999s, 0.022294s

16, 16384.0, "Linha Normal", 0.001042s, 0.022262s

16, 16384.0, "Linha Normal", 0.001165s, 0.022799s

16, 16384.0, "Linha Normal", 0.001128s, 0.024232s

16, 16384.0, "Linha Normal", 0.001234s, 0.019339s

16, 16384.0, "Linha Normal", 0.001342s, 0.023055s

16, 16384.0, "Linha Normal", 0.000958s, 0.023881s

16, 16384.0, "Linha Normal", 0.001071s, 0.019607s

16, 16384.0, "Linha Normal", 0.001107s, 0.021131s

16, 16384.0, "Linha Normal", 0.000885s, 0.019765s

16, 16384.0, "Linha Normal", 0.000937s, 0.022087s

16, 16384.0, "Linha Normal", 0.00099s, 0.021369s

16, 16384.0, "Linha Normal", 0.001002s, 0.022463s

16, 16384.0, "Linha Normal", 0.001082s, 0.0253s

16, 16384.0, "Linha Normal", 0.001059s, 0.027488s

16, 16384.0, "Linha Normal", 0.001114s, 0.023811s

16, 16384.0, "Linha Normal", 0.001145s, 0.022641s

16, 16384.0, "Linha Normal", 0.001077s, 0.026022s

16, 16384.0, "Linha Normal", 0.001167s, 0.021326s

16, 16384.0, "Linha Normal", 0.001082s, 0.021148s

16, 16384.0, "Linha Normal", 0.001014s, 0.022989s

16, 16384.0, "Linha Normal", 0.000907s, 0.019557s

16, 16384.0, "Linha Normal", 0.000954s, 0.019664s

16, 16384.0, "Linha Normal", 0.001012s, 0.023938s

16, 16384.0, "Linha Normal", 0.000891s, 0.027646s

16, 16384.0, "Linha Normal", 0.001033s, 0.018006s

