Alocacao,Tempo,Linguagem,Nucleos
0,0.852,Ansi C,16
0,0.834,Ansi C,16
0,0.845,Ansi C,16
0,0.858,Ansi C,16
0,0.842,Ansi C,16
0,0.837,Ansi C,16
0,0.833,Ansi C,16
0,0.837,Ansi C,16
0,0.854,Ansi C,16
0,0.837,Ansi C,16
0,0.834,Ansi C,16
0,0.835,Ansi C,16
0,0.834,Ansi C,16
0,0.833,Ansi C,16
0,0.835,Ansi C,16
0,0.964,Ansi C,16
0,0.832,Ansi C,16
0,0.835,Ansi C,16
0,0.840,Ansi C,16
0,0.841,Ansi C,16
0,0.843,Ansi C,16
0,0.834,Ansi C,16
0,0.833,Ansi C,16
0,0.834,Ansi C,16




0.154697,9.28569,Haskell,1
0.154807,9.277747,Haskell,1
0.154524,9.274719,Haskell,1
0.154825,9.286924,Haskell,1
0.154728,9.335056,Haskell,1
0.154848,9.276859,Haskell,1
0.154725,9.308459,Haskell,1
0.15466,9.283573,Haskell,1
0.154856,9.273604,Haskell,1
0.154726,9.316271,Haskell,1
0.154667,9.273986,Haskell,1
0.155059,9.264657,Haskell,1
0.154752,9.256762,Haskell,1
0.15462,9.374021,Haskell,1
0.154942,9.300155,Haskell,1
0.154744,9.372286,Haskell,1
0.154565,9.269883,Haskell,1
0.154589,9.276229,Haskell,1
0.154875,9.292411,Haskell,1
0.154893,9.288764,Haskell,1
0.154886,9.267099,Haskell,1
0.154842,9.302277,Haskell,1
0.154601,9.396557,Haskell,1
0.154691,9.275604,Haskell,1
0.154647,9.279701,Haskell,1
0.154691,9.280591,Haskell,1
0.154965,9.277119,Haskell,1
0.155033,9.311849,Haskell,1
0.154646,9.319482,Haskell,1
0.154684,9.312744,Haskell,1
0.154899,9.256485,Haskell,1
0.154924,9.273518,Haskell,1
0.154712,9.272479,Haskell,1
0.154879,9.325734,Haskell,1
0.15461,9.276022,Haskell,1
0.15469,9.309928,Haskell,1
0.154866,9.274556,Haskell,1
0.154808,9.263876,Haskell,1
0.154764,9.293464,Haskell,1
0.15466,9.287255,Haskell,1
0.154829,9.271995,Haskell,1
0.154744,9.309551,Haskell,1
0.154916,9.304521,Haskell,1
0.154651,9.289855,Haskell,1
0.154956,9.291468,Haskell,1
0.154613,9.29352,Haskell,1
0.155052,9.305125,Haskell,1
0.154572,9.281655,Haskell,1
0.154775,9.423466,Haskell,1
0.154853,9.302044,Haskell,1
0.65688,6.590697,Haskell,2
0.577261,5.981165,Haskell,2
0.681231,6.573485,Haskell,2
0.672958,6.49474,Haskell,2
0.673599,6.578772,Haskell,2
0.580222,5.781508,Haskell,2
0.671979,6.584174,Haskell,2
0.668119,6.492961,Haskell,2
0.662209,6.530949,Haskell,2
0.579732,5.999632,Haskell,2
0.675868,6.484035,Haskell,2
0.578731,5.753319,Haskell,2
0.682722,6.501765,Haskell,2
0.658335,6.502386,Haskell,2
0.67026,6.622389,Haskell,2
0.668693,6.596214,Haskell,2
0.581249,5.976582,Haskell,2
0.576896,5.961488,Haskell,2
0.658998,6.554944,Haskell,2
0.662346,6.631587,Haskell,2
0.664584,6.647432,Haskell,2
0.672136,6.570098,Haskell,2
0.578147,5.959933,Haskell,2
0.656109,6.612606,Haskell,2
0.658069,6.569947,Haskell,2
0.576179,5.991976,Haskell,2
0.663277,6.456185,Haskell,2
0.656231,6.185116,Haskell,2
0.661333,6.459102,Haskell,2
0.659205,6.591201,Haskell,2
0.661096,6.460953,Haskell,2
0.674824,6.497284,Haskell,2
0.672877,6.512286,Haskell,2
0.661477,6.574222,Haskell,2
0.576897,5.992992,Haskell,2
0.579726,5.79877,Haskell,2
0.665347,6.497957,Haskell,2
0.668762,6.472702,Haskell,2
0.66537,6.446852,Haskell,2
0.581059,5.971314,Haskell,2
0.669699,6.454101,Haskell,2
0.661876,6.581126,Haskell,2
0.662942,6.589019,Haskell,2
0.662849,6.553987,Haskell,2
0.662683,6.477674,Haskell,2
0.663403,6.593116,Haskell,2
0.662705,6.467715,Haskell,2
0.659633,6.514104,Haskell,2
0.673235,6.632699,Haskell,2
0.664368,6.482982,Haskell,2
0.472443,3.189147,Haskell,4
0.374768,3.374213,Haskell,4
0.481014,3.18508,Haskell,4
0.354368,3.34768,Haskell,4
0.376557,3.318601,Haskell,4
0.355316,3.326809,Haskell,4
0.543045,3.203915,Haskell,4
0.364067,3.338738,Haskell,4
0.49123,3.179812,Haskell,4
0.511984,3.180381,Haskell,4
0.475029,3.177672,Haskell,4
0.497677,3.190489,Haskell,4
0.388952,3.396088,Haskell,4
0.53287,3.195889,Haskell,4
0.486564,3.178471,Haskell,4
0.35439,3.316878,Haskell,4
0.372859,3.386417,Haskell,4
0.354808,3.335161,Haskell,4
0.382174,3.400555,Haskell,4
0.394406,3.385298,Haskell,4
0.362039,3.341277,Haskell,4
0.496354,3.174647,Haskell,4
0.371355,3.349213,Haskell,4
0.355443,3.326538,Haskell,4
0.378619,3.360757,Haskell,4
0.489416,3.182955,Haskell,4
0.409225,3.412444,Haskell,4
0.389491,3.072661,Haskell,4
0.378029,3.373422,Haskell,4
0.355105,3.362264,Haskell,4
0.479906,3.183752,Haskell,4
0.492525,3.222945,Haskell,4
0.355182,3.370797,Haskell,4
0.479705,3.17197,Haskell,4
0.483007,3.197102,Haskell,4
0.502331,3.202765,Haskell,4
0.390055,3.398002,Haskell,4
0.473134,3.17169,Haskell,4
0.379571,3.378508,Haskell,4
0.481945,3.162828,Haskell,4
0.474898,3.181611,Haskell,4
0.473552,3.14953,Haskell,4
0.479121,3.189205,Haskell,4
0.487767,3.20638,Haskell,4
0.381358,3.361719,Haskell,4
0.38338,3.434128,Haskell,4
