TempoAlocacao,Tempo,Pontos,Nucleos
0.039337,2.337088,1050625,Sequencial
0.039253,2.327323,1050625,Sequencial
0.039198,2.32867,1050625,Sequencial
0.039324,2.33227,1050625,Sequencial
0.03913,2.32787,1050625,Sequencial
0.039297,2.328947,1050625,Sequencial
0.039267,2.352733,1050625,Sequencial
0.03927,2.331904,1050625,Sequencial
0.039272,2.330854,1050625,Sequencial
0.039242,2.326974,1050625,Sequencial
0.039147,2.326044,1050625,Sequencial
0.039333,2.328843,1050625,Sequencial
0.039298,2.329968,1050625,Sequencial
0.039219,2.335106,1050625,Sequencial
0.039216,2.330009,1050625,Sequencial
0.039242,2.351352,1050625,Sequencial
0.03922,2.327144,1050625,Sequencial
0.039405,2.330968,1050625,Sequencial
0.039138,2.332708,1050625,Sequencial
0.03933,2.32683,1050625,Sequencial
0.039327,2.331652,1050625,Sequencial
0.039134,2.341716,1050625,Sequencial
0.039339,2.327384,1050625,Sequencial
0.039405,2.328413,1050625,Sequencial
0.039148,2.336537,1050625,Sequencial
0.039309,2.339853,1050625,Sequencial
0.039336,2.326214,1050625,Sequencial
0.039163,2.325116,1050625,Sequencial
0.039445,2.328893,1050625,Sequencial
0.039244,2.328966,1050625,Sequencial
0.039269,2.340139,1050625,Sequencial
0.039266,2.333966,1050625,Sequencial
0.039238,2.32735,1050625,Sequencial
0.039207,2.324857,1050625,Sequencial
0.154697,9.28569,4198401,Sequencial
0.154807,9.277747,4198401,Sequencial
0.154524,9.274719,4198401,Sequencial
0.154825,9.286924,4198401,Sequencial
0.154728,9.335056,4198401,Sequencial
0.154848,9.276859,4198401,Sequencial
0.154725,9.308459,4198401,Sequencial
0.15466,9.283573,4198401,Sequencial
0.154856,9.273604,4198401,Sequencial
0.154726,9.316271,4198401,Sequencial
0.154667,9.273986,4198401,Sequencial
0.155059,9.264657,4198401,Sequencial
0.154752,9.256762,4198401,Sequencial
0.15462,9.374021,4198401,Sequencial
0.154942,9.300155,4198401,Sequencial
0.154744,9.372286,4198401,Sequencial
0.154565,9.269883,4198401,Sequencial
0.154589,9.276229,4198401,Sequencial
0.154875,9.292411,4198401,Sequencial
0.154893,9.288764,4198401,Sequencial
0.154886,9.267099,4198401,Sequencial
0.154842,9.302277,4198401,Sequencial
0.154601,9.396557,4198401,Sequencial
0.154691,9.275604,4198401,Sequencial
0.154647,9.279701,4198401,Sequencial
0.154691,9.280591,4198401,Sequencial
0.154965,9.277119,4198401,Sequencial
0.155033,9.311849,4198401,Sequencial
0.154646,9.319482,4198401,Sequencial
0.154684,9.312744,4198401,Sequencial
0.154899,9.256485,4198401,Sequencial
0.154924,9.273518,4198401,Sequencial
0.154712,9.272479,4198401,Sequencial
0.154879,9.325734,4198401,Sequencial
0.15461,9.276022,4198401,Sequencial
0.15469,9.309928,4198401,Sequencial
0.154866,9.274556,4198401,Sequencial
0.154808,9.263876,4198401,Sequencial
0.154764,9.293464,4198401,Sequencial
0.15466,9.287255,4198401,Sequencial
0.154829,9.271995,4198401,Sequencial
0.154744,9.309551,4198401,Sequencial
0.154916,9.304521,4198401,Sequencial
0.154651,9.289855,4198401,Sequencial
0.154956,9.291468,4198401,Sequencial
0.154613,9.29352,4198401,Sequencial
0.155052,9.305125,4198401,Sequencial
0.154572,9.281655,4198401,Sequencial
0.154775,9.423466,4198401,Sequencial
0.154853,9.302044,4198401,Sequencial

0.008988,0.022207,16641,16sparks
0.007075,0.023165,16641,16sparks
0.009251,0.022684,16641,16sparks
0.00565,0.020762,16641,16sparks
0.009127,0.021555,16641,16sparks
0.016041,0.022493,16641,16sparks
0.007097,0.023079,16641,16sparks
0.007811,0.022989,16641,16sparks
0.011472,0.022948,16641,16sparks
0.007009,0.022899,16641,16sparks
0.006694,0.022084,16641,16sparks
0.005551,0.021771,16641,16sparks
0.010787,0.023932,16641,16sparks
0.006079,0.021374,16641,16sparks
0.010117,0.024397,16641,16sparks
0.007006,0.023713,16641,16sparks
0.00776,0.022662,16641,16sparks
0.005651,0.021587,16641,16sparks
0.009488,0.025043,16641,16sparks
0.005572,0.02253,16641,16sparks
0.00813,0.021563,16641,16sparks
0.008713,0.020877,16641,16sparks
0.005715,0.023317,16641,16sparks
0.010508,0.021214,16641,16sparks
0.01,0.023235,16641,16sparks
0.005696,0.021835,16641,16sparks
0.013772,0.020461,16641,16sparks
0.012468,0.024212,16641,16sparks
0.009279,0.021905,16641,16sparks
0.011765,0.030688,16641,16sparks
0.006825,0.024143,16641,16sparks
0.011707,0.022644,16641,16sparks
0.006988,0.023659,16641,16sparks
