TempoAlocacao,Tempo,Pontos,Nucleos
0.005017,0.023478,16641,8
0.004791,0.023055,16641,8
0.004908,0.022536,16641,8
0.008985,0.024509,16641,8
0.004776,0.023598,16641,8
0.005337,0.023823,16641,8
0.007884,0.023046,16641,8
0.006328,0.023873,16641,8
0.004976,0.023751,16641,8
0.004861,0.022929,16641,8
0.005226,0.022582,16641,8
0.006586,0.023774,16641,8
0.004909,0.022406,16641,8
0.008062,0.022984,16641,8
0.004837,0.022024,16641,8
0.004935,0.024141,16641,8
0.005028,0.022804,16641,8
0.004907,0.022405,16641,8
0.005149,0.024235,16641,8
0.005117,0.022564,16641,8
0.005008,0.0219,16641,8
0.004833,0.026145,16641,8
0.004869,0.022952,16641,8
0.005207,0.022401,16641,8
0.004894,0.022812,16641,8
0.004657,0.023566,16641,8
0.004906,0.023832,16641,8
0.006975,0.022336,16641,8
0.00488,0.024151,16641,8
0.006253,0.024946,16641,8
0.004883,0.024031,16641,8
0.00603,0.023126,16641,8
0.005151,0.022909,16641,8
0.00825,0.023497,16641,8
0.007979,0.022487,16641,8
0.004904,0.023039,16641,8
0.00524,0.022754,16641,8
0.004774,0.022367,16641,8
0.004884,0.02295,16641,8
0.006282,0.024649,16641,8
0.008699,0.022454,16641,8
0.005193,0.02292,16641,8
0.005194,0.022599,16641,8
0.004758,0.02539,16641,8
0.004857,0.021869,16641,8
0.006239,0.023489,16641,8
0.004833,0.023854,16641,8
0.006466,0.023084,16641,8
0.005197,0.022894,16641,8
0.007873,0.02429,16641,8
0.037421,0.094596,66049,8
0.038592,0.097777,66049,8
0.035683,0.094702,66049,8
0.054128,0.070669,66049,8
0.036521,0.100525,66049,8
0.054889,0.065914,66049,8
0.033361,0.09566,66049,8
0.058243,0.070397,66049,8
0.038847,0.092826,66049,8
0.038898,0.09511,66049,8
0.036351,0.095343,66049,8
0.036929,0.093881,66049,8
0.049845,0.068326,66049,8
0.037721,0.092447,66049,8
0.037601,0.09175,66049,8
0.033173,0.092982,66049,8
0.059753,0.069627,66049,8
0.047703,0.067756,66049,8
0.036519,0.087586,66049,8
0.037354,0.093431,66049,8
0.038749,0.095254,66049,8
0.050568,0.067459,66049,8
0.037697,0.092898,66049,8
0.035058,0.095005,66049,8
0.034034,0.095823,66049,8
0.042871,0.09568,66049,8
0.056516,0.066112,66049,8
0.037267,0.093297,66049,8
0.047238,0.071207,66049,8
0.052759,0.070399,66049,8
0.035979,0.0919,66049,8
0.055276,0.072341,66049,8
0.034998,0.086659,66049,8
0.055244,0.069723,66049,8
0.041099,0.102834,66049,8
